Unnamed: 0,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,boundary_pct,is_anchor,is_power_hitter,is_finisher,is_experienced,role,predicted_role
512,BAC Howell,2016-2024,53,691,23.82,144.25,49,34,2016,2024,9,57.88712011577424,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
513,Jalaj S Saxena,2009-2024,71,686,17.15,88.28,67,6,2009,2024,16,44.31486880466473,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
514,P Kumar,2007-2018,168,680,12.83,117.64,52,31,2007,2018,12,57.94117647058824,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
515,K Goel,2007-2013,44,679,19.97,91.88,57,18,2007,2013,7,49.48453608247423,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
516,Abdullah Shafique,2022-2024,26,678,28.25,135.87,59,26,2022,2024,3,57.817109144542776,True,False,True,False,Inexperienced Anchor Finisher,Inexperienced Anchor Finisher
517,AH Gupta,2011-2022,38,677,20.51,98.83,62,10,2011,2022,12,45.49483013293944,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
518,Mehedi Maruf,2013-2023,44,677,16.92,103.99,65,30,2013,2023,11,64.99261447562778,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
519,SD Chatterjee,2014-2024,40,676,21.12,111.92,73,5,2014,2024,11,47.633136094674555,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
520,RA Dey,2016-2024,42,676,22.53,127.3,41,32,2016,2024,9,52.662721893491124,True,False,False,True,Experienced Anchor,Experienced Anchor
521,S Chanderpaul,2007-2015,35,673,24.03,113.49,75,14,2007,2015,9,57.05794947994056,True,False,False,True,Experienced Anchor,Experienced Anchor
522,RP Burl,2019-2025,38,672,33.6,128.0,64,28,2019,2025,7,63.095238095238095,True,False,False,True,Experienced Anchor,Experienced Anchor
