Unnamed: 0,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,boundary_pct,is_anchor,is_power_hitter,is_finisher,is_experienced,role,predicted_role
0,CH Gayle,2007-2022,356,11448,36.92,143.92,866,839,2007,2022,16,74.2313067784766,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
1,V Kohli,2007-2024,308,9965,40.5,132.39,887,325,2007,2024,18,55.17310587054691,True,False,False,True,Experienced Anchor,Experienced Anchor
2,KA Pollard,2009-2024,493,9608,29.47,148.7,609,639,2009,2024,16,65.25811823480433,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
3,DA Warner,2009-2025,279,9296,38.25,138.82,937,330,2009,2025,17,61.61790017211703,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
4,RG Sharma,2007-2024,337,8878,30.93,131.91,807,374,2007,2024,18,61.635503491777435,True,True,False,True,Experienced Versatile Batter,Experienced Versatile Batter
5,S Dhawan,2007-2024,277,8289,33.83,125.17,939,192,2007,2024,18,59.21100253347811,True,False,False,True,Experienced Anchor,Experienced Anchor
6,F du Plessis,2012-2025,273,8251,34.52,139.21,760,323,2012,2025,14,60.33208095988365,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
7,SR Watson,2007-2020,297,7623,29.2,137.07,688,403,2007,2020,14,67.82106782106783,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
8,SK Raina,2008-2021,288,7605,32.08,137.52,687,285,2008,2021,14,58.61932938856016,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
9,Shoaib Malik,2007-2024,314,7325,32.7,124.46,531,239,2007,2024,18,48.57337883959044,True,False,False,True,Experienced Anchor,Experienced Anchor
10,RV Uthappa,2007-2022,284,7101,28.06,133.17,701,264,2007,2022,16,61.794113505140125,True,True,False,True,Experienced Versatile Batter,Experienced Versatile Batter
11,KD Karthik,2007-2025,365,6966,26.79,136.13,672,235,2007,2025,19,58.828596037898365,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
12,GJ Maxwell,2010-2025,301,6934,29.01,155.29,576,361,2010,2025,16,64.46495529276031,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
13,AB de Villiers,2007-2021,244,6892,39.15,150.54,544,327,2007,2021,15,60.04062681369704,True,False,True,True,Experienced Anchor Finisher,Experienced Elite Batter
14,CA Lynn,2011-2025,227,6579,32.89,144.49,571,357,2011,2025,15,67.27466180270558,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
15,AD Russell,2012-2025,388,6577,27.17,168.68,458,528,2012,2025,14,76.0225026607876,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
16,AM Rahane,2007-2024,253,6470,30.09,124.27,658,154,2007,2024,18,54.96136012364761,True,False,False,True,Experienced Anchor,Experienced Anchor
17,SV Samson,2011-2024,251,6445,30.25,135.14,533,287,2011,2024,14,59.79829325058185,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
18,MK Pandey,2007-2024,275,6433,30.92,123.47,542,205,2007,2024,18,52.82138970931136,True,False,False,True,Experienced Anchor,Experienced Anchor
19,MS Dhoni,2007-2024,326,6371,38.37,137.27,439,303,2007,2024,18,56.09794380787946,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
20,JC Buttler,2009-2024,202,6293,36.58,142.76,598,267,2009,2024,16,63.46734466867948,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
21,BB McCullum,2007-2019,249,6257,27.68,131.64,598,293,2007,2019,13,66.32571519897714,True,True,False,True,Experienced Versatile Batter,Experienced Elite Batter
22,AJ Finch,2010-2024,219,6057,30.9,129.61,565,225,2010,2024,15,59.60046227505366,True,False,False,True,Experienced Anchor,Experienced Anchor
23,AT Rayudu,2007-2023,290,6036,26.59,125.09,495,229,2007,2023,17,55.566600397614316,True,False,False,True,Experienced Anchor,Experienced Anchor
24,DR Smith,2007-2019,234,6003,28.31,126.56,605,278,2007,2019,13,68.09928369148759,True,False,False,True,Experienced Anchor,Experienced Elite Batter
25,G Gambhir,2007-2018,235,5994,28.95,120.6,699,86,2007,2018,12,55.25525525525525,True,False,False,True,Experienced Anchor,Experienced Anchor
26,SA Yadav,2010-2024,242,5749,32.85,146.77,595,216,2010,2024,15,63.9415550530527,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
27,LMP Simmons,2009-2022,203,5728,30.63,119.85,542,245,2009,2022,14,63.512569832402235,True,False,False,True,Experienced Anchor,Experienced Anchor
28,N Pooran,2013-2024,260,5718,28.3,150.59,381,396,2013,2024,12,68.20566631689402,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
29,DA Miller,2012-2025,275,5711,34.19,135.78,415,250,2012,2025,14,55.33181579408159,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
30,KL Rahul,2013-2024,168,5685,42.74,134.71,482,228,2013,2024,12,57.97713280562885,True,False,False,True,Experienced Anchor,Experienced Anchor
31,Q de Kock,2012-2025,209,5651,29.89,134.32,560,235,2012,2025,14,64.59033799327553,True,True,False,True,Experienced Versatile Batter,Experienced Elite Batter
32,AD Hales,2012-2025,194,5640,31.68,145.06,597,243,2012,2025,14,68.19148936170212,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
33,C Munro,2011-2025,206,5545,31.32,132.65,466,256,2011,2025,15,61.31650135256989,True,True,False,True,Experienced Versatile Batter,Experienced Anchor
34,ADS Fletcher,2009-2024,209,5461,29.84,125.22,479,255,2009,2024,16,63.1019959714338,True,False,False,True,Experienced Anchor,Experienced Anchor
35,MP Stoinis,2012-2025,241,5419,30.96,136.73,457,231,2012,2025,14,59.309835763055915,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
36,SE Marsh,2008-2024,153,5371,40.08,130.04,532,168,2008,2024,17,58.387637311487616,True,False,False,True,Experienced Anchor,Experienced Anchor
37,Tamim Iqbal,2007-2025,173,5270,34.9,120.92,559,158,2007,2025,19,60.41745730550284,True,False,False,True,Experienced Anchor,Experienced Anchor
38,J Charles,2012-2024,197,5238,28.78,132.97,495,254,2012,2024,13,66.89576174112256,True,True,False,True,Experienced Versatile Batter,Experienced Elite Batter
39,Shakib Al Hasan,2007-2024,308,5170,22.38,127.52,464,162,2007,2024,18,54.700193423597675,False,False,False,True,Experienced Balanced Batter,Experienced Anchor
40,RR Rossouw,2009-2025,214,5113,29.38,144.23,473,231,2009,2025,17,64.11108938001173,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
41,Babar Azam,2016-2024,136,4953,41.97,123.76,525,79,2016,2024,9,51.96850393700787,True,False,False,True,Experienced Anchor,Experienced Anchor
42,MA Agarwal,2010-2024,211,4917,25.6,134.08,497,174,2010,2024,15,61.66361602603213,True,True,False,True,Experienced Versatile Batter,Experienced Anchor
43,DJ Bravo,2007-2024,433,4904,22.19,129.22,335,236,2007,2024,18,56.199021207177815,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
44,SS Iyer,2014-2024,172,4870,33.58,133.09,415,203,2014,2024,11,59.096509240246405,True,False,False,True,Experienced Anchor,Experienced Anchor
45,E Lewis,2012-2024,189,4844,28.49,140.73,407,324,2012,2024,13,73.74071015689513,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
46,KC Sangakkara,2007-2018,195,4818,27.53,121.05,510,93,2007,2018,12,53.9227895392279,True,False,False,True,Experienced Anchor,Experienced Anchor
47,YK Pathan,2007-2019,262,4738,28.03,139.27,372,233,2007,2019,13,60.911777121148155,True,True,True,True,Experienced Elite Batter,Experienced Versatile Batter
48,SPD Smith,2009-2025,192,4674,35.14,131.03,394,141,2009,2025,17,51.818570817287124,True,False,False,True,Experienced Anchor,Experienced Anchor
49,WP Saha,2007-2024,253,4652,24.48,128.04,458,143,2007,2024,18,57.82459157351677,True,False,False,True,Experienced Anchor,Experienced Anchor
50,N Rana,2013-2024,191,4616,28.67,135.52,405,238,2013,2024,12,66.03119584055459,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
51,MC Henriques,2009-2025,220,4389,28.68,129.43,334,135,2009,2025,17,48.89496468443837,True,False,False,True,Experienced Anchor,Experienced Anchor
52,BJ Hodge,2007-2018,181,4362,36.35,130.13,381,163,2007,2018,12,57.35900962861072,True,False,False,True,Experienced Anchor,Experienced Anchor
53,RD Gaikwad,2017-2024,121,4238,40.36,140.09,400,164,2017,2024,8,60.97215667767814,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
54,PA Patel,2007-2019,198,4206,22.98,123.99,544,77,2007,2019,13,62.719923918212075,True,False,False,True,Experienced Anchor,Experienced Anchor
55,M Vijay,2007-2020,164,4111,26.35,121.98,384,143,2007,2020,14,58.234006324495255,True,False,False,True,Experienced Anchor,Experienced Anchor
56,Ishan Kishan,2014-2024,160,4108,28.92,135.08,406,188,2014,2024,11,66.99123661148978,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
57,RR Pant,2016-2024,143,4101,34.46,149.23,374,196,2016,2024,9,65.15484028285783,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
58,Mushfiqur Rahim,2007-2025,181,4096,33.03,129.04,351,121,2007,2025,19,52.001953125,True,False,False,True,Experienced Anchor,Experienced Anchor
59,Yuvraj Singh,2007-2019,198,4067,24.5,126.03,316,215,2007,2019,13,62.79813130071305,True,False,False,True,Experienced Anchor,Experienced Anchor
60,JH Kallis,2008-2016,160,3983,30.4,112.19,395,89,2008,2016,9,53.075571177504386,True,False,False,True,Experienced Anchor,Experienced Anchor
61,JJ Roy,2012-2025,155,3974,27.4,137.17,448,145,2012,2025,14,66.98540513336688,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
62,Mandeep Singh,2010-2024,211,3956,27.66,129.07,394,103,2010,2024,15,55.46006066734075,True,False,False,True,Experienced Anchor,Experienced Anchor
63,MEK Hussey,2007-2016,137,3938,37.5,125.01,367,105,2007,2016,10,53.27577450482478,True,False,False,True,Experienced Anchor,Experienced Anchor
64,HH Pandya,2013-2024,197,3896,30.92,141.77,286,210,2013,2024,12,61.70431211498973,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
65,Shubman Gill,2018-2024,124,3893,37.79,136.35,378,121,2018,2024,7,57.487798612894935,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
66,V Sehwag,2007-2016,143,3768,27.91,147.36,448,135,2007,2016,10,69.0552016985138,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
67,KP Pietersen,2007-2018,127,3700,34.57,136.98,322,141,2007,2018,12,57.67567567567568,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
68,Mohammad Rizwan,2016-2024,122,3648,41.45,122.74,319,96,2016,2024,9,50.76754385964912,True,False,False,True,Experienced Anchor,Experienced Anchor
69,KS Williamson,2012-2025,137,3633,33.95,121.26,317,97,2012,2025,14,50.92210294522433,True,False,False,True,Experienced Anchor,Experienced Anchor
70,JP Duminy,2007-2019,149,3589,39.43,123.03,235,137,2007,2019,13,49.094455280022295,True,False,False,True,Experienced Anchor,Experienced Anchor
71,SP Narine,2011-2024,406,3575,15.81,151.54,349,227,2011,2024,14,77.14685314685315,False,True,True,True,Experienced Explosive Finisher,Experienced Explosive Finisher
72,MS Wade,2009-2025,169,3506,27.39,135.21,320,109,2009,2025,17,55.162578436965205,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
73,SO Hetmyer,2016-2025,165,3499,30.16,143.81,245,196,2016,2025,10,61.61760503000857,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
74,RA Tripathi,2013-2024,156,3485,26.2,135.02,334,129,2013,2024,12,60.54519368723099,True,True,True,True,Experienced Elite Batter,Experienced Anchor
75,KK Nair,2013-2024,163,3462,26.42,134.91,343,116,2013,2024,12,59.73425765453495,True,False,False,True,Experienced Anchor,Experienced Anchor
76,SS Tiwary,2007-2023,181,3454,29.02,122.17,272,127,2007,2023,17,53.561088592935725,True,False,False,True,Experienced Anchor,Experienced Anchor
77,Mahmudullah,2007-2025,197,3449,24.81,121.91,264,130,2007,2025,19,53.23282110756741,True,False,False,True,Experienced Anchor,Experienced Balanced Batter
78,MK Tiwary,2007-2021,178,3400,28.81,116.63,273,90,2007,2021,15,48.0,True,False,False,True,Experienced Anchor,Experienced Anchor
79,Mohammad Hafeez,2007-2023,185,3393,22.03,112.68,318,106,2007,2023,17,56.233421750663126,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
80,JM Vince,2012-2025,128,3380,29.64,133.12,371,85,2012,2025,14,58.994082840236686,True,False,False,True,Experienced Anchor,Experienced Anchor
81,M Vohra,2013-2024,132,3340,28.79,126.65,332,117,2013,2024,12,60.778443113772454,True,False,False,True,Experienced Anchor,Experienced Anchor
82,RA Jadeja,2007-2024,289,3306,25.82,130.0,242,119,2007,2024,18,50.877192982456144,True,False,False,True,Experienced Anchor,Experienced Balanced Batter
83,MJ Guptill,2009-2024,138,3281,26.03,119.13,281,133,2009,2024,16,58.57970131057605,True,False,False,True,Experienced Anchor,Experienced Anchor
84,DPMD Jayawardene,2007-2017,141,3270,27.94,124.9,360,74,2007,2017,11,57.61467889908257,True,False,False,True,Experienced Anchor,Experienced Anchor
85,Kamran Akmal,2007-2022,143,3265,25.31,132.4,348,138,2007,2022,16,67.99387442572741,True,True,False,True,Experienced Versatile Batter,Experienced Elite Batter
86,DJM Short,2016-2025,109,3253,32.85,130.85,316,112,2016,2025,10,59.514294497387034,True,False,False,True,Experienced Anchor,Experienced Anchor
87,NLTC Perera,2009-2025,249,3231,21.54,152.33,245,187,2009,2025,17,65.05725781491797,False,True,True,True,Experienced Explosive Finisher,Experienced Explosive Finisher
88,MR Marsh,2010-2025,139,3218,31.54,131.66,231,149,2010,2025,16,56.49471721566191,True,False,False,True,Experienced Anchor,Experienced Anchor
89,TH David,2018-2025,177,3216,28.71,157.95,210,203,2018,2025,8,63.99253731343284,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
90,DJ Hooda,2013-2024,192,3209,23.59,136.61,219,144,2013,2024,12,54.2224992209411,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
91,RS Bopara,2009-2022,169,3166,27.77,116.31,245,83,2009,2022,14,46.68351231838282,True,False,False,True,Experienced Anchor,Experienced Anchor
92,Litton Das,2013-2025,141,3159,23.93,125.9,319,108,2013,2025,13,60.90534979423868,True,False,False,True,Experienced Anchor,Experienced Anchor
93,JW Wells,2011-2025,144,3131,34.03,122.16,260,56,2011,2025,15,43.94762056850847,True,False,False,True,Experienced Anchor,Experienced Anchor
94,CAK Walton,2013-2023,149,3055,24.44,125.97,259,146,2013,2023,11,62.58592471358428,True,False,False,True,Experienced Anchor,Experienced Anchor
95,CA Ingram,2010-2025,141,3026,26.31,131.5,262,126,2010,2025,16,59.61665565102445,True,False,False,True,Experienced Anchor,Experienced Anchor
96,Fakhar Zaman,2017-2024,109,3007,28.36,136.24,276,123,2017,2024,8,61.2570668440306,True,True,True,True,Experienced Elite Batter,Experienced Anchor Finisher
97,CL White,2008-2020,150,2981,26.38,118.15,215,111,2008,2020,13,51.190875545119084,True,False,False,True,Experienced Anchor,Experienced Anchor
98,Anamul Haque,2012-2025,139,2963,24.69,119.28,270,113,2012,2025,14,59.33175835302059,True,False,False,True,Experienced Anchor,Experienced Anchor
99,NV Ojha,2007-2019,178,2950,21.37,119.48,265,136,2007,2019,13,63.593220338983045,False,False,False,True,Experienced Balanced Batter,Experienced Anchor
100,DT Christian,2010-2025,221,2946,20.74,130.87,197,132,2010,2025,16,53.63204344874406,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
101,BR McDermott,2014-2025,109,2934,34.92,139.05,207,140,2014,2025,12,56.850715746421265,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
102,Abhishek Sharma,2018-2024,111,2926,30.8,157.56,265,166,2018,2024,7,70.26657552973342,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
103,PP Shaw,2018-2024,116,2902,25.23,151.61,338,124,2018,2024,7,72.22605099931081,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
104,DJ Hussey,2008-2017,142,2869,26.56,123.98,196,114,2008,2017,10,51.16765423492507,True,False,False,True,Experienced Anchor,Experienced Anchor
105,BR Dunk,2011-2022,146,2863,22.36,126.68,240,99,2011,2022,12,54.278728606356964,False,False,False,True,Experienced Balanced Batter,Experienced Anchor
106,DJG Sammy,2009-2020,220,2856,21.47,140.62,187,175,2009,2020,12,62.95518207282913,False,True,True,True,Experienced Explosive Finisher,Experienced Explosive Finisher
107,TM Dilshan,2007-2016,123,2827,26.66,118.78,334,64,2007,2016,10,60.841881853555,True,False,False,True,Experienced Anchor,Experienced Anchor
108,AI Ross,2014-2025,144,2819,28.19,126.81,213,100,2014,2025,12,51.50762681802058,True,False,False,True,Experienced Anchor,Experienced Anchor
109,MN Samuels,2007-2017,116,2807,31.53,118.73,236,113,2007,2017,11,57.78411115069469,True,False,False,True,Experienced Anchor,Experienced Anchor
110,Rahmanullah Gurbaz,2019-2025,117,2806,24.83,146.45,217,188,2019,2025,7,71.13328581610834,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
111,Ahmed Shehzad,2009-2024,110,2798,27.98,122.88,297,82,2009,2024,16,60.042887776983555,True,False,False,True,Experienced Anchor,Experienced Anchor
112,R Powell,2016-2024,161,2797,23.5,137.44,169,189,2016,2024,9,64.71219163389345,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
113,SR Tendulkar,2007-2013,95,2787,33.17,121.27,357,38,2007,2013,7,59.41872981700753,True,False,False,True,Experienced Anchor,Experienced Anchor
114,D Padikkal,2019-2024,97,2768,31.45,132.56,303,94,2019,2024,6,64.16184971098265,True,True,False,True,Experienced Versatile Batter,Experienced Elite Batter
115,Harpreet Singh,2010-2024,99,2757,35.34,123.96,222,94,2010,2024,15,52.66594124047879,True,False,False,True,Experienced Anchor,Experienced Anchor
116,TM Head,2013-2024,98,2757,32.82,147.59,241,134,2013,2024,12,64.12767500906783,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
117,VR Iyer,2015-2024,113,2743,37.06,140.45,250,115,2015,2024,10,61.61137440758294,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
118,LRPL Taylor,2007-2020,143,2725,27.52,119.83,178,112,2007,2020,14,50.788990825688074,True,False,False,True,Experienced Anchor,Experienced Anchor
119,KH Pandya,2013-2024,188,2721,24.07,131.0,234,92,2013,2024,12,54.68577728776185,True,False,False,True,Experienced Anchor,Experienced Anchor
120,Mohammad Nabi,2010-2025,231,2716,18.73,127.93,202,116,2010,2025,16,55.37555228276878,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
121,S Dube,2016-2024,128,2678,30.43,142.37,159,166,2016,2024,9,60.94100074682599,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
122,AR Patel,2013-2024,215,2654,24.12,134.58,179,125,2013,2024,12,55.23737754333082,True,False,False,True,Experienced Anchor,Experienced Anchor
123,BCJ Cutting,2012-2024,182,2653,22.67,145.13,184,161,2012,2024,13,64.15378816434225,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
124,UT Khawaja,2011-2025,87,2648,33.51,133.6,325,44,2011,2025,15,59.06344410876133,True,False,False,True,Experienced Anchor,Experienced Anchor
125,EJG Morgan,2009-2023,146,2647,23.63,122.6,205,115,2009,2023,15,57.04571212693615,True,False,False,True,Experienced Anchor,Experienced Anchor
126,AP Tare,2009-2024,130,2630,28.27,132.96,286,75,2009,2024,16,60.608365019011416,True,True,False,True,Experienced Versatile Batter,Experienced Anchor
127,R Parag,2017-2024,114,2616,33.11,143.65,176,152,2017,2024,8,61.773700305810394,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
128,SD Hope,2015-2025,104,2612,27.78,130.99,184,129,2015,2025,11,57.81010719754976,True,False,False,True,Experienced Anchor,Experienced Anchor
129,LS Livingstone,2019-2025,124,2589,25.89,141.63,171,160,2019,2025,7,63.49942062572423,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
130,JR Philippe,2017-2025,106,2531,27.51,135.63,246,71,2017,2025,9,55.709205847491106,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
131,JM Sharma,2014-2024,117,2525,27.44,150.38,233,120,2014,2024,11,65.42574257425743,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
132,GJ Bailey,2009-2020,135,2520,29.3,130.84,213,76,2009,2020,12,51.90476190476191,True,False,False,True,Experienced Anchor,Experienced Anchor
133,R Dravid,2007-2013,106,2511,27.59,113.87,307,31,2007,2013,7,56.31222620469932,True,False,False,True,Experienced Anchor,Experienced Anchor
134,DJ Malan,2016-2025,93,2489,31.91,125.07,218,84,2016,2025,10,55.28324628364805,True,False,False,True,Experienced Anchor,Experienced Anchor
135,MW Short,2014-2025,96,2473,28.75,144.36,196,115,2014,2025,12,59.603720177921545,True,False,True,True,Experienced Anchor Finisher,Experienced Elite Batter
136,RK Singh,2014-2024,120,2469,33.36,145.23,196,115,2014,2024,11,59.700283515593355,True,False,True,True,Experienced Anchor Finisher,Experienced Elite Batter
137,SW Billings,2016-2025,118,2465,24.89,134.33,219,81,2016,2025,10,55.25354969574037,True,False,False,True,Experienced Anchor,Experienced Anchor
138,RM Patidar,2018-2024,75,2463,38.48,158.18,181,143,2018,2024,7,64.23061307348762,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
139,M Klinger,2010-2019,91,2461,30.38,116.24,235,50,2010,2019,10,50.38602194229988,True,False,False,True,Experienced Anchor,Experienced Anchor
140,PD Salt,2018-2024,114,2459,24.34,152.92,269,95,2018,2024,7,66.93777958519723,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
141,KR Mayers,2013-2025,119,2457,24.08,134.04,209,151,2013,2025,13,70.8994708994709,True,True,False,True,Experienced Versatile Batter,Experienced Elite Batter
142,H Klaasen,2018-2025,93,2455,36.1,160.24,146,154,2018,2025,8,61.425661914460285,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
143,NT Tilak Varma,2019-2024,74,2449,43.73,146.91,192,117,2019,2024,6,60.02449979583504,True,False,True,True,Experienced Anchor Finisher,Experienced Elite Batter
144,SP Goswami,2008-2022,111,2437,26.78,115.55,270,40,2008,2022,15,54.164956914238815,True,False,False,True,Experienced Anchor,Experienced Anchor
145,LJ Wright,2007-2018,103,2437,27.38,133.16,261,80,2007,2018,12,62.535904800984824,True,True,False,True,Experienced Versatile Batter,Experienced Versatile Batter
146,Virat Singh,2014-2024,86,2432,35.76,128.27,243,67,2014,2024,11,56.49671052631579,True,False,False,True,Experienced Anchor,Experienced Anchor
147,KM Jadhav,2007-2023,153,2428,24.52,129.08,217,81,2007,2023,17,55.766062602965405,True,False,False,True,Experienced Anchor,Experienced Balanced Batter
148,DM Bravo,2009-2022,123,2424,29.92,115.37,139,142,2009,2022,14,58.08580858085809,True,False,False,True,Experienced Anchor,Experienced Anchor
149,JC Silk,2013-2025,135,2402,31.6,125.56,178,44,2013,2025,13,40.63280599500416,True,False,False,True,Experienced Anchor,Experienced Anchor
150,AJ Turner,2013-2025,145,2399,25.25,142.62,160,100,2013,2025,13,51.68820341809087,True,False,True,True,Experienced Anchor Finisher,Experienced Anchor
151,MM Ali,2013-2025,156,2392,22.14,132.74,176,134,2013,2025,13,63.04347826086957,False,True,False,True,Experienced Power Hitter,Experienced Versatile Batter
152,Mohammad Mithun,2012-2025,132,2390,24.14,116.75,155,97,2012,2025,14,50.2928870292887,True,False,False,True,Experienced Anchor,Experienced Anchor
153,GD Phillips,2017-2024,87,2388,32.71,136.61,177,127,2017,2024,8,61.55778894472361,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
154,CJ Ferguson,2010-2021,105,2380,28.0,125.06,203,52,2010,2021,12,47.22689075630252,True,False,False,True,Experienced Anchor,Experienced Anchor
155,Azam Khan,2019-2024,119,2365,24.13,144.03,201,142,2019,2024,6,70.02114164904863,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
156,DP Hughes,2012-2024,106,2365,27.82,121.71,213,55,2012,2024,13,49.97885835095137,True,False,False,True,Experienced Anchor,Experienced Anchor
157,Imrul Kayes,2010-2025,117,2364,22.73,117.2,209,99,2010,2025,16,60.49069373942471,True,False,False,True,Experienced Anchor,Experienced Balanced Batter
158,AK Markram,2021-2025,99,2346,30.86,129.25,178,79,2021,2025,5,50.5541346973572,True,False,False,True,Experienced Anchor,Experienced Anchor
159,P Dogra,2007-2024,105,2324,27.66,115.62,163,94,2007,2024,18,52.323580034423415,True,False,False,True,Experienced Anchor,Experienced Anchor
160,Imad Wasim,2016-2024,210,2324,22.78,126.44,201,79,2016,2024,9,54.99139414802065,True,False,False,True,Experienced Anchor,Experienced Anchor
161,J Weatherald,2016-2025,98,2324,25.82,130.85,232,92,2016,2025,10,63.683304647160064,True,True,False,True,Experienced Versatile Batter,Experienced Versatile Batter
162,Prabhsimran Singh,2019-2024,85,2310,31.64,145.28,229,121,2019,2024,6,71.08225108225108,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
163,AC Gilchrist,2007-2013,88,2307,27.79,139.73,264,102,2007,2013,7,72.30169050715214,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
164,KH Devdhar,2011-2021,81,2282,30.83,120.8,256,51,2011,2021,11,58.282208588957054,True,False,False,True,Experienced Anchor,Experienced Anchor
165,Sabbir Rahman,2012-2025,124,2272,22.27,121.82,177,100,2012,2025,14,57.570422535211264,False,False,False,True,Experienced Balanced Batter,Experienced Anchor
166,Umar Akmal,2010-2023,111,2265,27.62,134.66,171,111,2010,2023,14,59.60264900662252,True,False,False,True,Experienced Anchor,Experienced Anchor
167,S Badrinath,2007-2017,141,2257,28.56,112.68,212,42,2007,2017,11,48.73726185201595,True,False,False,True,Experienced Anchor,Experienced Anchor
168,YBK Jaiswal,2020-2024,81,2255,30.47,146.23,277,89,2020,2024,5,72.8159645232816,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
169,V Shankar,2013-2024,142,2252,26.18,128.98,155,90,2013,2024,12,51.50976909413855,True,False,False,True,Experienced Anchor,Experienced Anchor
170,NJ Maddinson,2011-2023,124,2207,19.88,121.66,205,90,2011,2023,13,61.622111463525144,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
171,AD Mathews,2009-2024,126,2189,28.42,128.01,157,86,2009,2024,16,52.26130653266332,True,False,False,True,Experienced Anchor,Experienced Anchor
172,BA King,2017-2025,104,2182,25.37,130.81,217,111,2017,2025,9,70.30247479376719,True,True,False,True,Experienced Versatile Batter,Experienced Elite Batter
173,MK Lomror,2017-2024,107,2137,26.38,129.82,164,91,2017,2024,8,56.24707533926065,True,False,False,True,Experienced Anchor,Experienced Anchor
174,SE Rutherford,2018-2025,130,2133,23.18,132.89,134,137,2018,2025,8,63.66619784341303,True,True,False,True,Experienced Versatile Batter,Experienced Versatile Batter
175,Najmul Hossain Shanto,2016-2025,103,2116,23.25,111.95,213,49,2016,2025,10,54.15879017013232,True,False,False,True,Experienced Anchor,Experienced Anchor
176,Afif Hossain,2016-2025,108,2098,22.55,122.54,188,77,2016,2025,10,57.86463298379408,True,False,False,True,Experienced Anchor,Experienced Anchor
177,DP Conway,2021-2025,62,2066,43.95,129.61,214,53,2021,2025,5,56.82478218780251,True,False,False,True,Experienced Anchor,Experienced Anchor
178,BKG Mendis,2018-2024,69,2050,32.03,138.23,193,79,2018,2024,7,60.78048780487805,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
179,HWR Cartwright,2012-2025,109,2047,28.04,124.06,160,75,2012,2025,14,53.248656570591116,True,False,False,True,Experienced Anchor,Experienced Anchor
180,P Chopra,2014-2024,70,2035,33.91,114.58,203,46,2014,2024,11,53.46437346437346,True,False,False,True,Experienced Anchor,Experienced Anchor
