Unnamed: 0,player,span,mat,wickets,econ,sr,start_year,end_year,career_length,is_wicket_taker,is_economist,is_experienced,role,predicted_role
1732,Sujit Yadav,2011-2011,2,4,5.75,12.0,2011,2011,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1733,AA Surwar,2018-2018,4,4,8.0,15.0,2018,2018,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1734,Tanbir Hayder,2016-2017,11,4,9.01,37.7,2016,2017,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1735,Taranjitsingh Dhillon,2017-2021,3,4,7.18,16.5,2017,2021,5,False,True,False,Inexperienced Economist,Inexperienced Economist
1736,HT Tector,2021-2024,24,4,7.53,19.5,2021,2024,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1737,DS Thilakaratne,2022-2022,3,4,8.5,12.0,2022,2022,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1738,DC Thomas,2013-2022,87,4,12.0,13.5,2013,2022,10,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
1739,B Vinay Kumar,2024-2024,5,4,6.75,30.0,2024,2024,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1740,AC Voges,2010-2018,80,4,8.41,43.5,2010,2018,9,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
1741,Waqar Ahmed,2013-2013,5,4,4.38,27.0,2013,2013,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1742,CL White,2008-2020,150,4,10.6,22.5,2008,2020,13,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
1743,I Wijesundera,2024-2024,4,4,6.18,16.5,2024,2024,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1744,CM Wright,2007-2009,3,4,9.8,7.5,2007,2009,3,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1745,Yab Niya,2019-2023,18,4,10.93,56.2,2019,2023,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1746,MH Yardy,2009-2010,8,4,6.2,36.0,2009,2010,2,False,True,False,Inexperienced Economist,Inexperienced Economist
1747,Zeeshan Ansari,2019-2025,3,4,9.0,16.5,2019,2025,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1748,M Zondeki,2009-2009,5,4,7.16,27.0,2009,2009,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1749,AR Bawne,2011-2024,42,3,6.92,26.0,2011,2024,14,False,True,False,Inexperienced Economist,Inexperienced Economist
1750,B Loomba,2009-2009,4,3,7.45,22.0,2009,2009,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1751,BN Jadeja,2009-2009,4,3,6.44,31.6,2009,2009,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1752,PSK Gupta,2011-2019,37,3,8.29,18.3,2011,2019,9,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1753,R Suthesh,2010-2010,2,3,6.13,15.3,2010,2010,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1754,Abhishek Bhat,2014-2017,5,3,8.84,38.0,2014,2017,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1755,AR Adams,2011-2012,9,3,7.25,64.0,2011,2012,2,False,True,False,Inexperienced Economist,Inexperienced Economist
