Unnamed: 0,player,span,mat,wickets,econ,sr,start_year,end_year,career_length,is_wicket_taker,is_economist,is_experienced,role,predicted_role
513,BC Fortuin,2023-2025,33,31,6.69,24.0,2023,2025,3,False,True,False,Inexperienced Economist,Inexperienced Economist
514,Harshit Rana,2022-2025,29,31,8.98,16.6,2022,2025,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
515,S Midhun,2018-2024,31,31,6.7,21.1,2018,2024,7,False,True,False,Inexperienced Economist,Inexperienced Economist
516,VRV Singh,2007-2012,33,31,7.97,21.5,2007,2012,6,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
517,V Viyaskanth,2020-2024,34,31,7.78,21.0,2020,2024,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
518,WB Chatterjee,2017-2024,42,30,6.44,21.8,2017,2024,8,False,True,False,Inexperienced Economist,Inexperienced Economist
519,JEC Franklin,2009-2017,64,30,8.51,19.0,2009,2017,9,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
520,RJ Gleeson,2016-2025,29,30,8.75,18.5,2016,2025,10,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
521,AM Hardie,2019-2025,68,30,8.58,18.9,2019,2025,7,False,False,True,Experienced Balanced Bowler,Inexperienced Balanced Bowler
522,D Himganekar,2017-2024,40,30,7.55,20.2,2017,2024,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
523,Jagjit Singh,2021-2024,21,30,7.84,14.5,2021,2024,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
524,SC Kuggeleijn,2014-2022,25,30,8.52,14.5,2014,2022,9,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
525,AB McDonald,2009-2016,37,30,7.72,18.0,2009,2016,8,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
526,S Mahmood,2020-2022,14,30,9.14,10.4,2020,2022,3,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
527,PN Mankad,2016-2024,55,30,8.51,20.7,2016,2024,9,False,False,True,Experienced Balanced Bowler,Inexperienced Balanced Bowler
528,BMAJ Mendis,2012-2020,50,30,7.11,19.0,2012,2020,9,False,True,False,Inexperienced Economist,Inexperienced Economist
529,Mukidul Islam,2019-2025,31,30,8.89,19.7,2019,2025,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
530,AR Nurse,2013-2021,68,30,7.7,26.3,2013,2021,9,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
531,KJ O'Brien,2009-2021,47,30,7.43,16.0,2009,2021,13,True,True,False,Inexperienced Elite Bowler,Experienced Elite Bowler
532,Rana Dutta,2009-2022,40,30,7.17,24.9,2009,2022,14,False,True,False,Inexperienced Economist,Experienced Economist
533,SS Ruikar,2015-2023,35,30,6.39,23.6,2015,2023,9,False,True,False,Inexperienced Economist,Inexperienced Economist
534,Saqlain Sajib,2012-2017,36,30,7.45,22.8,2012,2017,6,False,True,False,Inexperienced Economist,Inexperienced Economist
535,NB Singh,2015-2019,19,30,5.55,13.4,2015,2019,5,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
536,SB Styris,2007-2014,49,30,7.41,22.6,2007,2014,8,False,True,False,Inexperienced Economist,Inexperienced Economist
537,IH Chaudhary,2007-2019,30,29,7.89,19.8,2007,2019,13,False,False,False,Inexperienced Balanced Bowler,Experienced Balanced Bowler
538,PM Datey,2015-2022,29,29,6.96,20.2,2015,2022,8,False,True,False,Inexperienced Economist,Inexperienced Economist
539,M Hassan,2016-2021,27,29,6.78,19.1,2016,2021,6,False,True,False,Inexperienced Economist,Inexperienced Economist
540,GF Linde,2023-2025,44,29,7.46,26.0,2023,2025,3,False,True,False,Inexperienced Economist,Inexperienced Economist
541,SS Mondal,2011-2016,23,29,6.74,16.2,2011,2016,6,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
542,KL Nagarkoti,2020-2024,32,29,7.75,20.9,2020,2024,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
543,AA Nandi,2010-2021,39,29,6.17,20.4,2010,2021,12,False,True,False,Inexperienced Economist,Inexperienced Economist
544,RJ Peterson,2011-2016,30,29,6.99,18.9,2011,2016,6,False,True,False,Inexperienced Economist,Inexperienced Economist
545,Soumya Sarkar,2012-2025,127,29,9.27,20.9,2012,2025,14,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
546,Auqib Nabi,2019-2024,27,28,7.83,20.2,2019,2024,6,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
547,AK Chowdhary,2019-2024,30,28,7.94,19.8,2019,2024,6,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
548,Harsh Tyagi,2019-2024,41,28,7.03,26.8,2019,2024,6,False,True,False,Inexperienced Economist,Inexperienced Economist
549,Hassan Khan,2017-2024,40,28,7.62,22.5,2017,2024,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
550,DJ Hussey,2008-2017,142,28,8.27,22.6,2008,2017,10,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
551,JB Karia,2011-2017,30,28,6.76,15.6,2011,2017,7,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
552,I Khan,2015-2021,33,28,6.31,17.8,2015,2021,7,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
553,Mohammad Ilyas,2019-2023,28,28,9.31,16.3,2019,2023,5,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
554,Naved-ul-Hasan,2011-2012,21,28,7.47,17.1,2011,2012,2,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
555,AW O'Brien,2010-2014,33,28,7.56,24.4,2010,2014,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
556,MH Reddy,2018-2023,23,28,8.85,17.5,2018,2023,6,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
557,CA Rose,2012-2020,57,28,8.26,33.8,2012,2020,9,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
558,TS Saha,2007-2021,28,28,7.31,19.6,2007,2021,15,False,True,False,Inexperienced Economist,Experienced Economist
559,BB Samantray,2009-2021,71,28,6.57,25.8,2009,2021,13,False,True,True,Experienced Economist,Experienced Economist
560,SM Sanandia,2016-2018,16,28,6.9,12.0,2016,2018,3,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
561,SK Springer,2016-2024,30,28,9.03,15.0,2016,2024,9,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
562,TM Ul-Haq,2013-2022,27,28,6.55,18.6,2013,2022,10,False,True,False,Inexperienced Economist,Inexperienced Economist
563,E Bosch,2023-2025,30,27,8.18,20.1,2023,2025,3,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
564,N Burger,2023-2024,29,27,8.53,20.6,2023,2024,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
565,M de Lange,2012-2022,30,27,9.03,21.9,2012,2022,11,False,False,False,Inexperienced Balanced Bowler,Experienced Balanced Bowler
566,DM de Silva,2020-2024,47,27,7.03,20.3,2020,2024,5,False,True,False,Inexperienced Economist,Inexperienced Economist
567,Elias Sunny,2012-2015,27,27,6.94,17.7,2012,2015,4,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
568,Harmeet Singh,2009-2016,31,27,7.8,22.0,2009,2016,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
569,LC Hatcher,2020-2024,24,27,8.66,18.1,2020,2024,5,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
570,AC McDermott,2011-2015,20,27,8.47,15.0,2011,2015,5,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
571,S Narwal,2009-2014,32,27,7.7,23.1,2009,2014,6,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
572,AM Nayar,2007-2017,95,27,8.19,25.1,2007,2017,11,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
573,JDP Oram,2007-2013,46,27,8.09,27.4,2007,2013,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
574,J Overton,2023-2025,19,27,9.0,15.1,2023,2025,3,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
575,AM Phangiso,2010-2024,22,27,6.9,15.7,2010,2024,15,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
576,Rishad Hossain,2019-2025,23,27,8.33,13.7,2019,2025,7,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
577,A Sahani,2019-2022,29,27,8.11,19.8,2019,2022,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
578,SPD Smith,2009-2025,192,27,7.91,16.7,2009,2025,17,True,False,True,Experienced Wicket Taker,Experienced Balanced Bowler
579,AS Tendulkar,2021-2024,24,27,8.75,17.1,2021,2024,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
580,Varun Sood,2013-2021,30,27,6.68,22.6,2013,2021,9,False,True,False,Inexperienced Economist,Inexperienced Economist
581,GH Vihari,2010-2023,89,27,7.5,18.0,2010,2023,14,True,True,True,Experienced Elite Bowler,Experienced Balanced Bowler
582,Waqas Maqsood,2019-2022,20,27,8.62,15.5,2019,2022,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
583,VU Yadav,2019-2024,28,27,6.74,22.3,2019,2024,6,False,True,False,Inexperienced Economist,Inexperienced Economist
584,FB Alemao,2016-2024,20,26,9.17,12.9,2016,2024,9,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
585,S Beigh,2007-2014,23,26,7.12,19.3,2007,2014,8,False,True,False,Inexperienced Economist,Inexperienced Economist
586,Iftikhar Ahmed,2016-2025,118,26,7.9,25.1,2016,2025,10,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
587,Jaskaran Singh,2009-2021,32,26,7.52,23.4,2009,2021,13,False,False,False,Inexperienced Balanced Bowler,Experienced Economist
588,K Khejroliya,2018-2024,25,26,8.06,19.4,2018,2024,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
589,I Lemtur,2019-2024,33,26,7.25,21.8,2019,2024,6,False,True,False,Inexperienced Economist,Inexperienced Economist
590,AF Milne,2010-2024,40,26,8.0,32.0,2010,2024,15,False,False,False,Inexperienced Balanced Bowler,Experienced Balanced Bowler
591,Mohit Kumar,2019-2022,19,26,7.66,14.6,2019,2022,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
592,Sameen Gul,2018-2023,23,26,8.67,18.9,2018,2023,6,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
593,RG Sharma,2007-2025,340,26,7.69,22.2,2007,2025,19,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
594,Yuvraj Singh,2021-2023,17,26,7.12,13.1,2021,2023,3,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
595,Ziaur Rahman,2012-2025,84,26,9.16,20.1,2012,2025,14,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
596,JT Billa,2007-2011,14,25,6.92,12.4,2007,2011,5,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
597,MB Patel,2011-2015,16,25,8.43,12.8,2011,2015,5,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
598,Arshad Iqbal,2020-2023,24,25,9.22,20.0,2020,2023,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
599,SR Clark,2007-2011,16,25,5.78,14.6,2007,2011,5,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
600,A Dananjaya,2012-2024,32,25,8.48,25.6,2012,2024,13,False,False,False,Inexperienced Balanced Bowler,Experienced Balanced Bowler
601,PG Dooley,2022-2024,20,25,7.51,17.2,2022,2024,3,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
602,VA Jagadeesh,2007-2016,40,25,6.91,19.6,2007,2016,10,False,True,False,Inexperienced Economist,Inexperienced Economist
603,ST Jayasuriya,2007-2012,56,25,7.84,24.4,2007,2012,6,False,False,True,Experienced Balanced Bowler,Inexperienced Balanced Bowler
604,Kartik Tyagi,2020-2024,33,25,9.33,25.8,2020,2024,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
605,C Karunaratne,2021-2024,48,25,8.93,25.7,2021,2024,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
606,V Kaverappa,2022-2024,14,25,6.13,12.2,2022,2024,3,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
607,SS Lahiri,2007-2015,22,25,6.72,17.5,2007,2015,9,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
608,Mohammad Ali,2024-2025,14,25,7.82,12.2,2024,2025,2,True,False,False,Inexperienced Wicket Taker,Inexperienced Balanced Bowler
609,PJ Pramanik,2018-2024,25,25,7.61,14.8,2018,2024,7,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
610,RS Primus,2017-2024,44,25,9.05,16.0,2017,2024,8,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
611,AS Raut,2009-2022,65,25,7.27,22.4,2009,2022,14,False,True,True,Experienced Economist,Experienced Economist
612,I Saxena,2009-2014,24,25,5.82,18.1,2009,2014,6,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
613,S Shillingford,2013-2017,34,25,7.13,24.7,2013,2017,5,False,True,False,Inexperienced Economist,Inexperienced Economist
614,Utkarsh Singh,2019-2024,32,25,6.22,19.0,2019,2024,6,False,True,False,Inexperienced Economist,Inexperienced Economist
615,JDF Vandersay,2016-2024,20,25,6.94,17.0,2016,2024,9,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
616,V Vinod Kumar,2010-2024,26,25,7.71,20.5,2010,2024,15,False,False,False,Inexperienced Balanced Bowler,Experienced Balanced Bowler
617,Yudhvir Singh,2019-2025,34,25,8.46,24.0,2019,2025,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
618,Aamer Yamin,2016-2023,35,24,8.83,25.3,2016,2023,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
619,B Akhil,2007-2011,35,24,7.15,22.2,2007,2011,5,False,True,False,Inexperienced Economist,Inexperienced Economist
620,CJ Anderson,2014-2024,73,24,9.04,24.5,2014,2024,11,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
621,Bal Krishna,2021-2024,16,24,7.85,13.7,2021,2024,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
622,Bilal Khan,2016-2024,23,24,7.41,20.1,2016,2024,9,False,True,False,Inexperienced Economist,Inexperienced Economist
623,A Chandila,2010-2013,28,24,6.31,19.6,2010,2013,4,False,True,False,Inexperienced Economist,Inexperienced Economist
624,JD Cook,2018-2021,24,24,7.59,19.7,2018,2021,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
625,BL Couch,2021-2024,22,24,8.59,16.0,2021,2024,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
626,P Dubey,2018-2024,26,24,7.17,18.1,2018,2024,7,True,True,False,Inexperienced Elite Bowler,Inexperienced Economist
627,GB Gaikwad,2009-2013,18,24,6.59,17.1,2009,2013,5,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
628,SM Kazi,2015-2022,26,24,6.97,19.0,2015,2022,8,False,True,False,Inexperienced Economist,Inexperienced Economist
629,RAS Lakmal,2016-2022,26,24,8.3,19.0,2016,2022,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
630,SS Majumder,2013-2023,27,24,6.5,19.4,2013,2023,11,False,True,False,Inexperienced Economist,Inexperienced Economist
631,Nayeem Hasan,2017-2024,30,24,7.45,24.7,2017,2024,8,False,True,False,Inexperienced Economist,Inexperienced Economist
632,Nitin Yadav,2016-2023,22,24,8.45,18.6,2016,2023,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
633,GB Poddar,2013-2024,56,24,7.39,20.1,2013,2024,12,False,True,True,Experienced Economist,Experienced Economist
634,R Sathish,2009-2017,67,24,7.02,22.5,2009,2017,9,False,True,True,Experienced Economist,Inexperienced Economist
635,Saurabh Kumar,2016-2021,33,24,7.03,26.1,2016,2021,6,False,True,False,Inexperienced Economist,Inexperienced Economist
636,Abrar Ahmed,2017-2024,20,23,7.75,19.8,2017,2024,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
637,Afif Hossain,2016-2025,108,23,9.13,18.8,2016,2025,10,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
638,Amad Butt,2017-2023,27,23,9.53,20.1,2017,2023,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
639,RB Bishnoi,2014-2024,20,23,6.54,16.7,2014,2024,11,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
640,E Chigumbura,2007-2016,35,23,9.54,13.0,2007,2016,10,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
641,V Choudhary,2019-2023,19,23,8.93,17.3,2019,2023,5,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
642,K Diwan,2007-2011,19,23,5.91,18.5,2007,2011,5,False,True,False,Inexperienced Economist,Inexperienced Economist
643,R Dutta,2009-2013,20,23,6.52,18.5,2009,2013,5,False,True,False,Inexperienced Economist,Inexperienced Economist
644,CRD Fernando,2007-2010,15,23,7.1,14.6,2007,2010,4,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
645,AA Gani,2014-2018,18,23,6.93,15.3,2014,2018,5,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
646,NM Hauritz,2009-2015,40,23,8.02,26.2,2009,2015,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
647,Ihsanullah,2022-2023,14,23,7.55,12.7,2022,2023,2,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
648,SD Lad,2013-2022,60,23,6.94,21.6,2013,2022,10,False,True,True,Experienced Economist,Inexperienced Economist
649,SM Maniar,2007-2013,19,23,7.09,18.1,2007,2013,7,True,True,False,Inexperienced Elite Bowler,Inexperienced Economist
650,KD Mills,2009-2014,22,23,7.33,21.0,2009,2014,6,False,True,False,Inexperienced Economist,Inexperienced Economist
651,Mir Hamza,2016-2024,20,23,8.63,16.4,2016,2024,9,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
652,Nihaduzzaman,2017-2025,30,23,7.32,25.5,2017,2025,9,False,True,False,Inexperienced Economist,Inexperienced Economist
653,Pappu Roy,2019-2021,18,23,5.84,16.6,2019,2021,3,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
654,Rajwinder Singh,2011-2015,16,23,6.69,14.5,2011,2015,5,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
655,KAJ Roach,2010-2018,30,23,8.02,27.9,2010,2018,9,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
656,M Siddharth,2019-2025,14,23,5.81,12.7,2019,2025,7,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
657,WPUJC Vaas,2007-2010,18,23,7.0,16.9,2007,2010,4,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
658,PI Walter,2023-2025,22,23,8.98,16.6,2023,2025,3,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
659,Waseem Raza,2014-2021,27,23,7.75,22.6,2014,2021,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
660,MA Wood,2018-2024,16,23,8.74,14.3,2018,2024,7,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
661,Aamer Jamal,2023-2025,21,22,9.82,18.0,2023,2025,3,True,False,False,Inexperienced Wicket Taker,Inexperienced Balanced Bowler
662,Abid Nabi,2007-2017,25,22,6.94,23.8,2007,2017,11,False,True,False,Inexperienced Economist,Inexperienced Economist
663,Alauddin Babu,2012-2025,32,22,9.77,16.6,2012,2025,14,True,False,False,Inexperienced Wicket Taker,Experienced Balanced Bowler
664,RA Bawa,2022-2025,21,22,8.6,14.2,2022,2025,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
665,C Bosch,2022-2025,33,22,9.69,16.9,2022,2025,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
666,DM Dupavillon,2022-2025,19,22,9.43,16.0,2022,2025,4,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
667,JK Fuller,2022-2025,23,22,8.69,19.6,2022,2025,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
668,BJ Hodge,2007-2018,181,22,8.23,18.8,2007,2018,12,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
669,S Joseph,2018-2024,20,22,7.17,18.8,2018,2024,7,False,True,False,Inexperienced Economist,Inexperienced Economist
670,A Kamboj,2022-2024,19,22,7.64,15.2,2022,2024,3,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
671,L Kishan Singha,2021-2024,31,22,7.6,25.3,2021,2024,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
672,AK Markram,2021-2025,103,22,7.23,25.6,2021,2025,5,False,True,True,Experienced Economist,Inexperienced Economist
673,J Mehta,2007-2011,17,22,6.47,16.5,2007,2011,5,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
674,Mohammad Asghar,2016-2018,23,22,7.4,19.0,2016,2018,3,False,True,False,Inexperienced Economist,Inexperienced Economist
675,Mohammad Irfan (4),2017-2019,21,22,9.34,17.1,2017,2019,3,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
676,Monir Hossain,2012-2020,29,22,7.15,26.0,2012,2020,9,False,True,False,Inexperienced Economist,Inexperienced Economist
677,Muhammad Musa,2019-2023,22,22,9.63,18.1,2019,2023,5,True,False,False,Inexperienced Wicket Taker,Inexperienced Balanced Bowler
678,AJ Nair,2016-2022,35,22,7.67,21.0,2016,2022,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
679,R Ngarava,2022-2024,19,22,7.72,18.0,2022,2024,3,True,False,False,Inexperienced Wicket Taker,Inexperienced Balanced Bowler
680,DA Payne,2023-2024,16,22,8.56,15.1,2023,2024,2,True,False,False,Inexperienced Wicket Taker,Inexperienced Balanced Bowler
681,VD Philander,2007-2014,25,22,7.89,21.5,2007,2014,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
682,SS Ranjane,2013-2025,37,22,8.0,21.9,2013,2025,13,False,False,False,Inexperienced Balanced Bowler,Experienced Balanced Bowler
683,GP Swann,2009-2012,16,22,6.5,15.0,2009,2012,4,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
684,A Symonds,2007-2011,51,22,7.86,29.0,2007,2011,5,False,False,True,Experienced Balanced Bowler,Inexperienced Balanced Bowler
685,AA Tiwari,2021-2024,20,22,8.58,18.8,2021,2024,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
686,S Vashisht,2021-2023,16,22,5.93,13.0,2021,2023,3,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
687,KP Appanna,2007-2013,24,21,7.68,19.7,2007,2013,7,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
688,H Bisht,2019-2024,27,21,8.16,21.7,2019,2024,6,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
689,SE Bond,2007-2010,19,21,7.41,21.1,2007,2010,4,False,True,False,Inexperienced Economist,Inexperienced Economist
690,S Budhwar,2007-2016,19,21,7.2,19.3,2007,2016,10,False,True,False,Inexperienced Economist,Inexperienced Economist
691,DJ Hooda,2013-2025,194,21,7.88,39.1,2013,2025,13,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
692,Karanveer Singh,2014-2019,16,21,8.57,15.5,2014,2019,6,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
693,VS Kushwah,2017-2021,30,21,8.9,14.2,2017,2021,5,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
694,Manjeet Singh,2015-2019,17,21,7.42,17.0,2015,2019,5,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
695,Y Nagar,2009-2019,55,21,7.36,13.5,2009,2019,11,True,True,True,Experienced Elite Bowler,Inexperienced Elite Bowler
696,SN Netravalkar,2024-2024,13,21,7.23,12.9,2024,2024,1,True,True,False,Inexperienced Elite Bowler,Inexperienced Economist
697,MD Nidheesh,2019-2024,18,21,7.88,17.1,2019,2024,6,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
698,Pankaj Rao,2017-2022,22,21,7.55,20.4,2017,2022,6,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
699,R Powell,2016-2024,161,21,11.09,24.5,2016,2024,9,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
700,DS Punia,2015-2022,21,21,8.29,19.1,2015,2022,8,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
701,Rahul Singh,2013-2021,25,21,6.78,22.2,2013,2021,9,False,True,False,Inexperienced Economist,Inexperienced Economist
702,KJ Rakesh,2007-2014,29,21,7.54,15.7,2007,2014,8,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
703,Rejaur Rahman,2022-2025,20,21,9.08,19.3,2022,2025,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
704,R Sanjay Yadav,2017-2023,35,21,6.62,22.8,2017,2023,7,False,True,False,Inexperienced Economist,Inexperienced Economist
705,A Sinha,2009-2018,25,21,6.73,24.6,2009,2018,10,False,True,False,Inexperienced Economist,Inexperienced Economist
706,P Tamang,2019-2024,41,21,8.58,27.3,2019,2024,6,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
707,MY Vahora,2007-2017,24,21,7.2,24.0,2007,2017,11,False,True,False,Inexperienced Economist,Inexperienced Economist
708,LB Williams,2023-2024,14,21,9.75,11.4,2023,2024,2,True,False,False,Inexperienced Wicket Taker,Inexperienced Balanced Bowler
709,B Mohanty,2013-2017,21,20,6.44,24.3,2013,2017,5,False,True,False,Inexperienced Economist,Inexperienced Economist
710,Ashish Yadav,2011-2019,36,20,7.1,23.4,2011,2019,9,False,True,False,Inexperienced Economist,Inexperienced Economist
711,N Behera,2007-2011,16,20,6.24,15.8,2007,2011,5,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
712,AA Choudhury,2022-2024,19,20,7.05,15.9,2022,2024,3,True,True,False,Inexperienced Elite Bowler,Inexperienced Elite Bowler
713,HNA Conway,2019-2023,23,20,8.5,24.0,2019,2023,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
714,CJ Dala,2018-2025,12,20,9.5,11.4,2018,2025,8,True,False,False,Inexperienced Wicket Taker,Inexperienced Wicket Taker
715,AK Das,2010-2021,31,20,7.91,29.9,2010,2021,12,False,False,False,Inexperienced Balanced Bowler,Experienced Balanced Bowler
716,CS Delport,2014-2022,97,20,8.68,22.6,2014,2022,9,False,False,True,Experienced Balanced Bowler,Experienced Balanced Bowler
717,TM Dilshan,2007-2016,123,20,7.23,36.2,2007,2016,10,False,True,True,Experienced Economist,Experienced Economist
