,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
387,RJW Topley,2016-2025,48,44,8.72,21.3,2016,2025,10
388,GC Viljoen,2013-2025,42,44,9.09,18.7,2013,2025,13
389,Abul Hasan,2012-2017,42,43,9.14,17.3,2012,2017,6
390,B Doggett,2017-2025,48,43,8.33,20.6,2017,2025,9
391,Pankaj Singh,2007-2021,57,43,7.64,27.1,2007,2021,15
392,Yasir Shah,2015-2021,48,43,6.96,23.5,2015,2021,7
393,Akif Javed,2020-2025,31,42,7.94,15.0,2020,2025,6
394,XJ Doherty,2011-2017,41,42,7.59,20.5,2011,2017,7
395,R Frylinck,2010-2020,36,42,7.91,16.2,2010,2020,11
396,CJ Gannon,2012-2025,34,42,8.89,15.8,2012,2025,14
397,VR Iyer,2015-2025,117,42,7.71,20.8,2015,2025,11
398,ACP Mishra,2010-2019,31,42,7.45,15.5,2010,2019,10
399,MD Shanaka,2016-2024,90,42,9.18,17.7,2016,2024,9
400,Sunzamul Islam,2012-2025,71,42,7.76,26.9,2012,2025,14
401,SS Bandekar,2007-2017,33,41,8.18,15.3,2007,2017,11
402,AN Chauhan,2011-2018,27,41,7.95,13.8,2011,2018,8
403,R Dayal,2011-2021,42,41,6.6,21.9,2011,2021,11
404,S Dube,2016-2025,132,41,8.68,21.4,2016,2025,10
405,R Parag,2017-2025,118,41,7.23,25.4,2017,2025,9
406,DJM Short,2016-2025,109,41,8.52,23.5,2016,2025,10
407,BA Stokes,2015-2023,61,41,8.67,22.6,2015,2023,9
408,RD Thakur,2013-2018,30,41,7.84,15.7,2013,2018,6
409,CP Tremain,2012-2021,49,41,8.13,24.7,2012,2021,10
410,JD Wildermuth,2016-2022,54,41,8.38,25.0,2016,2022,7
411,Abhishek Sharma,2018-2025,115,40,7.23,22.0,2018,2025,8
412,KM Asif,2018-2023,36,40,8.32,17.4,2018,2023,6
413,HF Gurney,2011-2019,33,40,7.68,18.0,2011,2019,9
414,LS Livingstone,2019-2025,127,40,8.47,20.5,2019,2025,7
415,LR Morris,2020-2025,35,40,8.28,16.6,2020,2025,6
416,Nahidul Islam,2016-2025,64,40,6.67,25.0,2016,2025,10
417,HP Patel,2015-2023,44,40,6.58,22.9,2015,2023,9
418,IC Porel,2019-2024,31,40,7.23,16.0,2019,2024,6
419,Sohail Khan,2015-2024,45,40,8.86,24.0,2015,2024,10
420,L Wood,2022-2024,32,40,8.87,18.1,2022,2024,3
421,R Jangid,2009-2019,51,39,6.7,25.1,2009,2019,11
422,RRS Cornwall,2013-2025,79,39,7.84,21.3,2013,2025,13
423,NL McCullum,2007-2016,46,39,6.89,19.8,2007,2016,10
424,AD Mascarenhas,2007-2014,33,39,7.4,18.2,2007,2014,8
425,Mehedi Hasan Rana,2017-2025,34,39,8.83,16.5,2017,2025,9
426,Mukhtar Hussain,2019-2024,36,39,7.89,18.3,2019,2024,6
427,BB Sran,2011-2019,46,39,8.57,23.5,2011,2019,9
428,Sumit Singh,2009-2023,44,39,7.87,18.4,2009,2023,15
429,DN Wellalage,2022-2025,42,39,6.65,18.6,2022,2025,4
430,RR Beaton,2014-2025,47,38,8.73,25.0,2014,2025,12
431,DR Behera,2009-2017,39,38,7.15,18.9,2009,2017,9
432,AA Bhandari,2010-2019,45,38,6.78,22.6,2010,2019,10
433,SCJ Broad,2007-2017,34,38,7.85,18.3,2007,2017,11
434,JR Hopes,2008-2016,56,38,7.83,26.7,2008,2016,9
435,BAC Howell,2016-2024,53,38,7.34,27.6,2016,2024,9
436,BS Konthoujam,2019-2024,41,38,7.58,20.6,2019,2024,6
437,MF Maharoof,2007-2014,31,38,7.81,16.2,2007,2014,8
438,S Prasanna,2012-2023,71,38,7.33,27.3,2012,2023,12
439,NA Rathva,2018-2024,47,38,6.44,16.4,2018,2024,7
440,Abid Mushtaq,2019-2024,36,37,6.46,19.0,2019,2024,6
441,CK Chundawat,2015-2021,39,37,6.64,20.0,2015,2021,7
442,Ebadot Hossain,2017-2025,35,37,8.07,19.9,2017,2025,9
443,Monu Kumar,2016-2021,29,37,7.12,16.7,2016,2021,6
444,SS Mundhe,2007-2022,51,37,8.23,22.7,2007,2022,16
445,DJ Muthuswami,2013-2019,30,37,7.42,16.0,2013,2019,7
446,P Patel,2007-2018,32,37,6.25,14.7,2007,2018,12
447,AS Roy,2019-2024,58,37,7.13,27.9,2019,2024,6
448,MW Short,2014-2025,96,37,7.49,26.4,2014,2025,12
449,J Syed Mohammad,2009-2017,45,37,7.5,22.3,2009,2017,9
450,L Ablish,2007-2011,22,36,6.56,12.6,2007,2011,5
451,Amit Verma,2007-2021,52,36,7.2,14.4,2007,2021,15
452,Rasikh Salam,2019-2025,32,36,8.68,18.1,2019,2025,7
453,W Sutherland,2018-2025,63,36,8.8,25.8,2018,2025,8
454,Usman Qadir,2018-2024,40,36,8.41,22.6,2018,2024,7
455,HR Walsh,2018-2024,40,36,7.93,17.8,2018,2024,7
456,Waqar Salamkheil,2019-2025,30,36,8.33,16.6,2019,2025,7
457,DC Drakes,2018-2024,40,35,9.93,21.2,2018,2024,7
458,MW Forde,2022-2024,34,35,7.53,16.5,2022,2024,3
459,AN Kazi,2019-2024,49,35,6.94,21.5,2019,2024,6
460,KMDN Kulasekara,2009-2016,36,35,7.05,20.1,2009,2016,8
461,Mosaddek Hossain,2015-2025,103,35,8.06,26.5,2015,2025,11
462,Nabil Samad,2012-2025,50,35,6.9,27.9,2012,2025,14
463,CAK Rajitha,2020-2024,30,35,8.15,15.9,2020,2024,5
464,TP Sudhindra,2007-2012,27,35,6.75,18.2,2007,2012,6
465,PA van Meekeren,2016-2024,33,35,7.29,19.2,2016,2024,9
466,Amit Mishra,2013-2018,24,34,7.58,15.1,2013,2018,6
467,J Behera,2011-2022,25,34,5.87,14.4,2011,2022,12
468,SJ Benn,2009-2016,54,34,7.22,32.1,2009,2016,8
469,CBRLS Kumara,2020-2023,29,34,8.32,16.7,2020,2023,4
470,CK Langeveldt,2009-2014,20,34,7.6,13.1,2009,2014,6
471,JB Little,2021-2024,33,34,8.22,20.8,2021,2024,4
472,B Muzarabani,2021-2024,26,34,7.96,15.3,2021,2024,4
473,Rahat Ali,2018-2020,28,34,7.81,18.0,2018,2020,3
474,RR Raje,2007-2017,30,34,8.06,16.4,2007,2017,11
475,V Shankar,2013-2025,144,34,8.14,24.9,2013,2025,13
476,A Singh,2009-2012,29,34,7.79,18.1,2009,2012,4
477,Suyash Sharma,2023-2025,29,34,7.54,18.6,2023,2025,3
478,MK Tiwary,2007-2021,178,34,8.12,19.6,2007,2021,15
479,Alok Kapali,2007-2022,73,33,8.3,17.9,2007,2022,16
480,JJ Bazley,2020-2025,47,33,8.75,20.9,2020,2025,6
481,G Coetzee,2023-2025,21,33,9.14,12.5,2023,2025,3
482,Fabid Ahmed,2015-2024,43,33,6.81,22.8,2015,2024,10
483,C Ganapathy,2007-2012,25,33,6.42,15.0,2007,2012,6
484,JNT Seales,2020-2024,31,33,9.14,15.1,2020,2024,5
485,TK Kotian,2021-2024,33,33,6.39,18.7,2021,2024,4
486,Mohammad Shahid,2015-2019,27,33,6.93,15.3,2015,2019,5
487,M Mohammed,2014-2024,41,33,7.64,18.7,2014,2024,11
488,Mrittunjoy Chowdhury,2022-2025,25,33,8.65,15.7,2022,2025,4
489,P Narang,2019-2024,25,33,6.72,14.0,2019,2024,6
490,P Parameswaran,2007-2014,34,33,7.74,21.4,2007,2014,8
491,LE Plunkett,2016-2024,32,33,8.48,20.4,2016,2024,9
492,DB Pradhan,2018-2024,31,33,7.71,17.7,2018,2024,7
493,AS Sarkar,2015-2024,42,33,8.12,25.4,2015,2024,10
494,KK Seth,2015-2024,28,33,7.94,17.3,2015,2024,10
495,SS Agarwal,2017-2024,26,32,6.31,15.0,2017,2024,8
496,Ashutosh Aman,2019-2022,29,32,6.29,18.3,2019,2022,4
497,TT Bresnan,2010-2018,33,32,8.42,20.7,2010,2018,9
498,MK Dutta,2016-2024,30,32,8.09,18.2,2016,2024,9
499,L Gregory,2011-2023,44,32,8.77,18.8,2011,2023,13
500,Manan Sharma,2013-2017,26,32,6.07,15.2,2013,2017,5
501,AG Murtaza,2007-2014,33,32,6.98,20.4,2007,2014,8
502,M Pretorius,2021-2025,33,32,9.59,19.6,2021,2025,5
503,S Sanyal,2007-2014,23,32,6.13,13.8,2007,2014,8
504,KR Sen,2019-2024,39,32,8.93,23.1,2019,2024,6
505,Shuvagata Hom,2012-2024,96,32,7.99,23.2,2012,2024,13
506,Umar Nazir,2015-2021,24,32,7.16,16.2,2015,2021,7
507,K Upadhyay,2010-2019,35,32,7.65,23.0,2010,2019,10
508,K Abhinay,2018-2024,34,31,8.04,21.7,2018,2024,7
509,Al Islam,2019-2025,27,31,6.71,19.3,2019,2025,7
510,SB Bangar,2007-2012,33,31,7.35,18.6,2007,2012,6
511,PC de Silva,2016-2025,49,31,7.23,22.7,2016,2025,10
512,Enamul Haque jnr,2012-2019,28,31,6.43,17.1,2012,2019,8
513,BC Fortuin,2023-2025,33,31,6.69,24.0,2023,2025,3
514,Harshit Rana,2022-2025,29,31,8.98,16.6,2022,2025,4
515,S Midhun,2018-2024,31,31,6.7,21.1,2018,2024,7
516,VRV Singh,2007-2012,33,31,7.97,21.5,2007,2012,6
517,V Viyaskanth,2020-2024,34,31,7.78,21.0,2020,2024,5
518,WB Chatterjee,2017-2024,42,30,6.44,21.8,2017,2024,8
519,JEC Franklin,2009-2017,64,30,8.51,19.0,2009,2017,9
520,RJ Gleeson,2016-2025,29,30,8.75,18.5,2016,2025,10
521,AM Hardie,2019-2025,68,30,8.58,18.9,2019,2025,7
522,D Himganekar,2017-2024,40,30,7.55,20.2,2017,2024,8
523,Jagjit Singh,2021-2024,21,30,7.84,14.5,2021,2024,4
524,SC Kuggeleijn,2014-2022,25,30,8.52,14.5,2014,2022,9
525,AB McDonald,2009-2016,37,30,7.72,18.0,2009,2016,8
526,S Mahmood,2020-2022,14,30,9.14,10.4,2020,2022,3
527,PN Mankad,2016-2024,55,30,8.51,20.7,2016,2024,9
528,BMAJ Mendis,2012-2020,50,30,7.11,19.0,2012,2020,9
529,Mukidul Islam,2019-2025,31,30,8.89,19.7,2019,2025,7
530,AR Nurse,2013-2021,68,30,7.7,26.3,2013,2021,9
531,KJ O'Brien,2009-2021,47,30,7.43,16.0,2009,2021,13
532,Rana Dutta,2009-2022,40,30,7.17,24.9,2009,2022,14
533,SS Ruikar,2015-2023,35,30,6.39,23.6,2015,2023,9
534,Saqlain Sajib,2012-2017,36,30,7.45,22.8,2012,2017,6
535,NB Singh,2015-2019,19,30,5.55,13.4,2015,2019,5
536,SB Styris,2007-2014,49,30,7.41,22.6,2007,2014,8
537,IH Chaudhary,2007-2019,30,29,7.89,19.8,2007,2019,13
538,PM Datey,2015-2022,29,29,6.96,20.2,2015,2022,8
539,M Hassan,2016-2021,27,29,6.78,19.1,2016,2021,6
540,GF Linde,2023-2025,44,29,7.46,26.0,2023,2025,3
541,SS Mondal,2011-2016,23,29,6.74,16.2,2011,2016,6
542,KL Nagarkoti,2020-2024,32,29,7.75,20.9,2020,2024,5
543,AA Nandi,2010-2021,39,29,6.17,20.4,2010,2021,12
544,RJ Peterson,2011-2016,30,29,6.99,18.9,2011,2016,6
545,Soumya Sarkar,2012-2025,127,29,9.27,20.9,2012,2025,14
546,Auqib Nabi,2019-2024,27,28,7.83,20.2,2019,2024,6
547,AK Chowdhary,2019-2024,30,28,7.94,19.8,2019,2024,6
548,Harsh Tyagi,2019-2024,41,28,7.03,26.8,2019,2024,6
549,Hassan Khan,2017-2024,40,28,7.62,22.5,2017,2024,8
550,DJ Hussey,2008-2017,142,28,8.27,22.6,2008,2017,10
551,JB Karia,2011-2017,30,28,6.76,15.6,2011,2017,7
552,I Khan,2015-2021,33,28,6.31,17.8,2015,2021,7
553,Mohammad Ilyas,2019-2023,28,28,9.31,16.3,2019,2023,5
554,Naved-ul-Hasan,2011-2012,21,28,7.47,17.1,2011,2012,2
555,AW O'Brien,2010-2014,33,28,7.56,24.4,2010,2014,5
556,MH Reddy,2018-2023,23,28,8.85,17.5,2018,2023,6
557,CA Rose,2012-2020,57,28,8.26,33.8,2012,2020,9
558,TS Saha,2007-2021,28,28,7.31,19.6,2007,2021,15
559,BB Samantray,2009-2021,71,28,6.57,25.8,2009,2021,13
560,SM Sanandia,2016-2018,16,28,6.9,12.0,2016,2018,3
561,SK Springer,2016-2024,30,28,9.03,15.0,2016,2024,9
562,TM Ul-Haq,2013-2022,27,28,6.55,18.6,2013,2022,10
563,E Bosch,2023-2025,30,27,8.18,20.1,2023,2025,3
564,N Burger,2023-2024,29,27,8.53,20.6,2023,2024,2
565,M de Lange,2012-2022,30,27,9.03,21.9,2012,2022,11
566,DM de Silva,2020-2024,47,27,7.03,20.3,2020,2024,5
567,Elias Sunny,2012-2015,27,27,6.94,17.7,2012,2015,4
568,Harmeet Singh,2009-2016,31,27,7.8,22.0,2009,2016,8
569,LC Hatcher,2020-2024,24,27,8.66,18.1,2020,2024,5
570,AC McDermott,2011-2015,20,27,8.47,15.0,2011,2015,5
571,S Narwal,2009-2014,32,27,7.7,23.1,2009,2014,6
572,AM Nayar,2007-2017,95,27,8.19,25.1,2007,2017,11
573,JDP Oram,2007-2013,46,27,8.09,27.4,2007,2013,7
574,J Overton,2023-2025,19,27,9.0,15.1,2023,2025,3
575,AM Phangiso,2010-2024,22,27,6.9,15.7,2010,2024,15
576,Rishad Hossain,2019-2025,23,27,8.33,13.7,2019,2025,7
577,A Sahani,2019-2022,29,27,8.11,19.8,2019,2022,4
578,SPD Smith,2009-2025,192,27,7.91,16.7,2009,2025,17
579,AS Tendulkar,2021-2024,24,27,8.75,17.1,2021,2024,4
580,Varun Sood,2013-2021,30,27,6.68,22.6,2013,2021,9
581,GH Vihari,2010-2023,89,27,7.5,18.0,2010,2023,14
582,Waqas Maqsood,2019-2022,20,27,8.62,15.5,2019,2022,4
583,VU Yadav,2019-2024,28,27,6.74,22.3,2019,2024,6
584,FB Alemao,2016-2024,20,26,9.17,12.9,2016,2024,9
585,S Beigh,2007-2014,23,26,7.12,19.3,2007,2014,8
586,Iftikhar Ahmed,2016-2025,118,26,7.9,25.1,2016,2025,10
587,Jaskaran Singh,2009-2021,32,26,7.52,23.4,2009,2021,13
588,K Khejroliya,2018-2024,25,26,8.06,19.4,2018,2024,7
589,I Lemtur,2019-2024,33,26,7.25,21.8,2019,2024,6
590,AF Milne,2010-2024,40,26,8.0,32.0,2010,2024,15
591,Mohit Kumar,2019-2022,19,26,7.66,14.6,2019,2022,4
592,Sameen Gul,2018-2023,23,26,8.67,18.9,2018,2023,6
593,RG Sharma,2007-2025,340,26,7.69,22.2,2007,2025,19
594,Yuvraj Singh,2021-2023,17,26,7.12,13.1,2021,2023,3
595,Ziaur Rahman,2012-2025,84,26,9.16,20.1,2012,2025,14
596,JT Billa,2007-2011,14,25,6.92,12.4,2007,2011,5
597,MB Patel,2011-2015,16,25,8.43,12.8,2011,2015,5
598,Arshad Iqbal,2020-2023,24,25,9.22,20.0,2020,2023,4
599,SR Clark,2007-2011,16,25,5.78,14.6,2007,2011,5
600,A Dananjaya,2012-2024,32,25,8.48,25.6,2012,2024,13
601,PG Dooley,2022-2024,20,25,7.51,17.2,2022,2024,3
602,VA Jagadeesh,2007-2016,40,25,6.91,19.6,2007,2016,10
603,ST Jayasuriya,2007-2012,56,25,7.84,24.4,2007,2012,6
604,Kartik Tyagi,2020-2024,33,25,9.33,25.8,2020,2024,5
605,C Karunaratne,2021-2024,48,25,8.93,25.7,2021,2024,4
606,V Kaverappa,2022-2024,14,25,6.13,12.2,2022,2024,3
607,SS Lahiri,2007-2015,22,25,6.72,17.5,2007,2015,9
608,Mohammad Ali,2024-2025,14,25,7.82,12.2,2024,2025,2
609,PJ Pramanik,2018-2024,25,25,7.61,14.8,2018,2024,7
610,RS Primus,2017-2024,44,25,9.05,16.0,2017,2024,8
611,AS Raut,2009-2022,65,25,7.27,22.4,2009,2022,14
612,I Saxena,2009-2014,24,25,5.82,18.1,2009,2014,6
613,S Shillingford,2013-2017,34,25,7.13,24.7,2013,2017,5
614,Utkarsh Singh,2019-2024,32,25,6.22,19.0,2019,2024,6
615,JDF Vandersay,2016-2024,20,25,6.94,17.0,2016,2024,9
616,V Vinod Kumar,2010-2024,26,25,7.71,20.5,2010,2024,15
617,Yudhvir Singh,2019-2025,34,25,8.46,24.0,2019,2025,7
618,Aamer Yamin,2016-2023,35,24,8.83,25.3,2016,2023,8
619,B Akhil,2007-2011,35,24,7.15,22.2,2007,2011,5
620,CJ Anderson,2014-2024,73,24,9.04,24.5,2014,2024,11
621,Bal Krishna,2021-2024,16,24,7.85,13.7,2021,2024,4
622,Bilal Khan,2016-2024,23,24,7.41,20.1,2016,2024,9
623,A Chandila,2010-2013,28,24,6.31,19.6,2010,2013,4
624,JD Cook,2018-2021,24,24,7.59,19.7,2018,2021,4
625,BL Couch,2021-2024,22,24,8.59,16.0,2021,2024,4
626,P Dubey,2018-2024,26,24,7.17,18.1,2018,2024,7
627,GB Gaikwad,2009-2013,18,24,6.59,17.1,2009,2013,5
628,SM Kazi,2015-2022,26,24,6.97,19.0,2015,2022,8
629,RAS Lakmal,2016-2022,26,24,8.3,19.0,2016,2022,7
630,SS Majumder,2013-2023,27,24,6.5,19.4,2013,2023,11
631,Nayeem Hasan,2017-2024,30,24,7.45,24.7,2017,2024,8
632,Nitin Yadav,2016-2023,22,24,8.45,18.6,2016,2023,8
633,GB Poddar,2013-2024,56,24,7.39,20.1,2013,2024,12
634,R Sathish,2009-2017,67,24,7.02,22.5,2009,2017,9
635,Saurabh Kumar,2016-2021,33,24,7.03,26.1,2016,2021,6
636,Abrar Ahmed,2017-2024,20,23,7.75,19.8,2017,2024,8
637,Afif Hossain,2016-2025,108,23,9.13,18.8,2016,2025,10
638,Amad Butt,2017-2023,27,23,9.53,20.1,2017,2023,7
639,RB Bishnoi,2014-2024,20,23,6.54,16.7,2014,2024,11
640,E Chigumbura,2007-2016,35,23,9.54,13.0,2007,2016,10
641,V Choudhary,2019-2023,19,23,8.93,17.3,2019,2023,5
642,K Diwan,2007-2011,19,23,5.91,18.5,2007,2011,5
643,R Dutta,2009-2013,20,23,6.52,18.5,2009,2013,5
644,CRD Fernando,2007-2010,15,23,7.1,14.6,2007,2010,4
645,AA Gani,2014-2018,18,23,6.93,15.3,2014,2018,5
646,NM Hauritz,2009-2015,40,23,8.02,26.2,2009,2015,7
647,Ihsanullah,2022-2023,14,23,7.55,12.7,2022,2023,2
648,SD Lad,2013-2022,60,23,6.94,21.6,2013,2022,10
649,SM Maniar,2007-2013,19,23,7.09,18.1,2007,2013,7
650,KD Mills,2009-2014,22,23,7.33,21.0,2009,2014,6
651,Mir Hamza,2016-2024,20,23,8.63,16.4,2016,2024,9
652,Nihaduzzaman,2017-2025,30,23,7.32,25.5,2017,2025,9
653,Pappu Roy,2019-2021,18,23,5.84,16.6,2019,2021,3
654,Rajwinder Singh,2011-2015,16,23,6.69,14.5,2011,2015,5
655,KAJ Roach,2010-2018,30,23,8.02,27.9,2010,2018,9
656,M Siddharth,2019-2025,14,23,5.81,12.7,2019,2025,7
657,WPUJC Vaas,2007-2010,18,23,7.0,16.9,2007,2010,4
658,PI Walter,2023-2025,22,23,8.98,16.6,2023,2025,3
659,Waseem Raza,2014-2021,27,23,7.75,22.6,2014,2021,8
660,MA Wood,2018-2024,16,23,8.74,14.3,2018,2024,7
661,Aamer Jamal,2023-2025,21,22,9.82,18.0,2023,2025,3
662,Abid Nabi,2007-2017,25,22,6.94,23.8,2007,2017,11
663,Alauddin Babu,2012-2025,32,22,9.77,16.6,2012,2025,14
664,RA Bawa,2022-2025,21,22,8.6,14.2,2022,2025,4
665,C Bosch,2022-2025,33,22,9.69,16.9,2022,2025,4
666,DM Dupavillon,2022-2025,19,22,9.43,16.0,2022,2025,4
667,JK Fuller,2022-2025,23,22,8.69,19.6,2022,2025,4
668,BJ Hodge,2007-2018,181,22,8.23,18.8,2007,2018,12
669,S Joseph,2018-2024,20,22,7.17,18.8,2018,2024,7
670,A Kamboj,2022-2024,19,22,7.64,15.2,2022,2024,3
671,L Kishan Singha,2021-2024,31,22,7.6,25.3,2021,2024,4
672,AK Markram,2021-2025,103,22,7.23,25.6,2021,2025,5
673,J Mehta,2007-2011,17,22,6.47,16.5,2007,2011,5
674,Mohammad Asghar,2016-2018,23,22,7.4,19.0,2016,2018,3
675,Mohammad Irfan (4),2017-2019,21,22,9.34,17.1,2017,2019,3
676,Monir Hossain,2012-2020,29,22,7.15,26.0,2012,2020,9
677,Muhammad Musa,2019-2023,22,22,9.63,18.1,2019,2023,5
678,AJ Nair,2016-2022,35,22,7.67,21.0,2016,2022,7
679,R Ngarava,2022-2024,19,22,7.72,18.0,2022,2024,3
680,DA Payne,2023-2024,16,22,8.56,15.1,2023,2024,2
681,VD Philander,2007-2014,25,22,7.89,21.5,2007,2014,8
682,SS Ranjane,2013-2025,37,22,8.0,21.9,2013,2025,13
683,GP Swann,2009-2012,16,22,6.5,15.0,2009,2012,4
684,A Symonds,2007-2011,51,22,7.86,29.0,2007,2011,5
685,AA Tiwari,2021-2024,20,22,8.58,18.8,2021,2024,4
686,S Vashisht,2021-2023,16,22,5.93,13.0,2021,2023,3
687,KP Appanna,2007-2013,24,21,7.68,19.7,2007,2013,7
688,H Bisht,2019-2024,27,21,8.16,21.7,2019,2024,6
689,SE Bond,2007-2010,19,21,7.41,21.1,2007,2010,4
690,S Budhwar,2007-2016,19,21,7.2,19.3,2007,2016,10
691,DJ Hooda,2013-2025,194,21,7.88,39.1,2013,2025,13
692,Karanveer Singh,2014-2019,16,21,8.57,15.5,2014,2019,6
693,VS Kushwah,2017-2021,30,21,8.9,14.2,2017,2021,5
694,Manjeet Singh,2015-2019,17,21,7.42,17.0,2015,2019,5
695,Y Nagar,2009-2019,55,21,7.36,13.5,2009,2019,11
696,SN Netravalkar,2024-2024,13,21,7.23,12.9,2024,2024,1
697,MD Nidheesh,2019-2024,18,21,7.88,17.1,2019,2024,6
698,Pankaj Rao,2017-2022,22,21,7.55,20.4,2017,2022,6
699,R Powell,2016-2024,161,21,11.09,24.5,2016,2024,9
700,DS Punia,2015-2022,21,21,8.29,19.1,2015,2022,8
701,Rahul Singh,2013-2021,25,21,6.78,22.2,2013,2021,9
702,KJ Rakesh,2007-2014,29,21,7.54,15.7,2007,2014,8
703,Rejaur Rahman,2022-2025,20,21,9.08,19.3,2022,2025,4
704,R Sanjay Yadav,2017-2023,35,21,6.62,22.8,2017,2023,7
705,A Sinha,2009-2018,25,21,6.73,24.6,2009,2018,10
706,P Tamang,2019-2024,41,21,8.58,27.3,2019,2024,6
707,MY Vahora,2007-2017,24,21,7.2,24.0,2007,2017,11
708,LB Williams,2023-2024,14,21,9.75,11.4,2023,2024,2
709,B Mohanty,2013-2017,21,20,6.44,24.3,2013,2017,5
710,Ashish Yadav,2011-2019,36,20,7.1,23.4,2011,2019,9
711,N Behera,2007-2011,16,20,6.24,15.8,2007,2011,5
712,AA Choudhury,2022-2024,19,20,7.05,15.9,2022,2024,3
713,HNA Conway,2019-2023,23,20,8.5,24.0,2019,2023,5
714,CJ Dala,2018-2025,12,20,9.5,11.4,2018,2025,8
715,AK Das,2010-2021,31,20,7.91,29.9,2010,2021,12
716,CS Delport,2014-2022,97,20,8.68,22.6,2014,2022,9
717,TM Dilshan,2007-2016,123,20,7.23,36.2,2007,2016,10
718,BM Edmondson,2011-2013,17,20,8.97,18.7,2011,2013,3
719,ST Gabriel,2012-2018,25,20,8.09,19.6,2012,2018,7
720,RV Gomez,2007-2019,62,20,7.8,29.4,2007,2019,13
721,DS Goswami,2007-2015,17,20,7.04,16.1,2007,2015,9
722,SM Harwood,2009-2012,16,20,7.37,17.2,2009,2012,4
723,TM Head,2013-2025,102,20,8.58,20.0,2013,2025,13
724,Karim Janat,2021-2024,35,20,8.28,19.8,2021,2024,4
725,KAU Kense,2021-2024,20,20,7.58,18.4,2021,2024,4
726,Mayank Mishra,2019-2022,19,20,7.09,18.5,2019,2022,4
727,JM Mennie,2012-2020,22,20,8.71,18.4,2012,2020,9
728,NO Miller,2010-2018,39,20,6.75,35.1,2010,2018,9
729,Mohammad Imran,2021-2025,22,20,8.82,24.0,2021,2025,5
730,RG More,2012-2024,22,20,8.23,20.9,2012,2024,13
731,Mujtaba Yousuf,2019-2022,21,20,7.67,21.3,2019,2022,4
732,S Rana,2007-2015,42,20,6.77,17.8,2007,2015,9
733,Sarfaraz Ashraf,2014-2019,21,20,7.05,18.2,2014,2019,6
734,AP Sharma,2019-2023,20,20,6.33,21.6,2019,2023,5
735,Shashank Singh,2015-2025,77,20,8.42,19.2,2015,2025,11
736,Sohrawordi Shuvo,2010-2022,31,20,7.86,26.1,2010,2022,13
737,SJ Srivastava,2007-2011,22,20,8.66,22.6,2007,2011,5
738,SP Tari,2023-2024,13,20,8.64,13.5,2023,2024,2
739,T Thyagarajan,2018-2024,31,20,6.39,34.5,2018,2024,7
740,V Tiwari,2019-2024,17,20,9.53,13.5,2019,2024,6
741,Zulfiqar Babar,2014-2018,24,20,6.89,28.2,2014,2018,5
742,HH Gadekar,2010-2014,14,19,6.17,14.8,2010,2014,5
743,P Amarnath,2007-2013,14,19,9.2,16.7,2007,2013,7
744,G Anikethreddy,2022-2024,14,19,6.62,15.5,2022,2024,3
745,RH Bhatt,2007-2018,43,19,7.64,22.8,2007,2018,12
746,D Bishoo,2010-2018,16,19,7.52,17.0,2010,2018,9
747,C Campher,2021-2024,24,19,8.32,16.7,2021,2024,4
748,AA Chavan,2009-2013,26,19,7.97,25.0,2009,2013,5
749,PG Dake,2014-2021,11,19,8.46,12.3,2014,2021,8
750,RV Dhurv,2007-2014,22,19,6.83,24.4,2007,2014,8
751,Dilbar Hussain,2020-2023,15,19,8.61,14.9,2020,2023,4
752,J Edwards,2018-2025,51,19,8.1,21.7,2018,2025,8
753,GD Elliott,2016-2017,27,19,7.56,18.9,2016,2017,2
754,EP Gulbis,2012-2019,47,19,8.1,26.2,2012,2019,8
755,MADI Hemantha,2022-2024,14,19,6.75,14.7,2022,2024,3
756,CD Hinchliffe,2019-2023,27,19,8.05,18.9,2019,2023,5
757,MN Hirwani,2016-2023,24,19,7.25,23.3,2016,2023,8
758,WG Jacks,2020-2025,66,19,7.39,25.5,2020,2025,6
759,JL Jaggesar,2016-2025,23,19,7.77,22.4,2016,2025,10
760,DE Johnson,2013-2016,12,19,8.62,13.1,2013,2016,4
761,E Jones,2023-2025,19,19,9.41,15.2,2023,2025,3
762,Kaushal Singh,2014-2021,36,19,7.92,20.6,2014,2021,8
763,D Lakshan,2020-2023,17,19,9.02,12.9,2020,2023,4
764,SJK Majumdar,2021-2024,21,19,6.65,18.8,2021,2024,4
765,BAD Manenti,2018-2025,33,19,7.58,26.3,2018,2025,8
766,T Murphy,2021-2025,28,19,6.42,20.8,2021,2025,5
767,PKKK Naidu,2010-2015,19,19,8.14,19.1,2010,2015,6
768,S Nazar,2013-2015,15,19,5.3,17.7,2013,2015,3
769,SM Pollock,2007-2008,18,19,7.14,20.6,2007,2008,2
770,V Pratap Singh,2012-2021,22,19,8.56,23.6,2012,2021,10
771,Rajan Kumar,2022-2024,19,19,7.62,19.2,2022,2024,3
772,J Royal,2019-2023,23,19,7.71,17.4,2019,2023,5
773,Jatin S Saxena,2009-2018,18,19,6.24,15.4,2009,2018,10
774,Shakeeb Ahmed,2017-2019,16,19,8.6,15.7,2017,2019,3
775,Shapoor Zadran,2010-2016,17,19,6.82,18.4,2010,2016,7
776,RR Singh,2013-2017,25,19,6.83,27.1,2013,2017,5
