,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length
1911,NN Kadam,2019-2019,7,70,17.5,89.74,3,2,2019,2019,1
1912,SG Praharaj,2011-2011,4,70,17.5,84.33,8,0,2011,2011,1
1913,SDNV Prasad,2024-2024,7,70,23.33,148.93,7,3,2024,2024,1
1914,Shashi Kumar,2007-2010,6,70,14.0,76.92,3,0,2007,2010,4
1915,HR Shokeen,2022-2023,18,70,23.33,106.06,10,0,2022,2023,2
1916,PJ Singh,2024-2024,6,70,11.66,90.9,5,1,2024,2024,1
1917,RR Batham,2019-2024,15,69,9.85,104.54,3,3,2019,2024,6
1918,Kamrul Islam Rabbi,2015-2025,60,69,8.62,88.46,4,3,2015,2025,11
1919,Karan Sharma,2018-2018,3,69,23.0,130.18,9,1,2018,2018,1
1920,Mani Sharma,2021-2024,3,69,34.5,100.0,3,3,2021,2024,4
1921,AA Pathak,2024-2024,5,69,13.8,140.81,6,5,2024,2024,1
1922,ND Perera,2023-2024,4,69,17.25,135.29,5,3,2023,2024,2
1923,Rasikh Salam,2019-2024,30,69,7.66,95.83,7,1,2019,2024,6
1924,CJM Sabburg,2013-2022,12,69,13.8,83.13,3,1,2013,2022,10
1925,KS Tambe,2022-2022,3,69,69.0,172.5,4,5,2022,2022,1
1926,Vikash Kumar,2021-2024,19,69,4.6,83.13,8,1,2021,2024,4
1927,AA Wakhare,2009-2022,62,69,7.66,104.54,5,2,2009,2022,14
1928,SR Dongre,2013-2014,9,68,9.71,80.0,7,1,2013,2014,2
1929,SK Arora,2021-2021,1,68,0.0,147.82,8,3,2021,2021,1
1930,SJ Benn,2009-2016,54,68,7.55,75.55,7,2,2009,2016,8
1931,SA Chouhan,2013-2015,6,68,11.33,85.0,7,1,2013,2015,3
1932,KPSP Karunanayake,2010-2011,5,68,22.66,104.61,4,4,2010,2011,2
1933,P Narang,2019-2024,25,68,17.0,104.61,6,2,2019,2024,6
1934,Shohidul Islam,2016-2024,37,68,7.55,77.27,5,1,2016,2024,9
1935,Shaiman Anwar,2014-2014,3,68,22.66,128.3,5,3,2014,2014,1
1936,AB Tripathi,2018-2019,5,68,13.6,109.67,9,0,2018,2019,2
1937,PR Parmar,2010-2010,3,67,22.33,126.41,8,2,2010,2010,1
1938,Aman Rao,2024-2024,1,67,0.0,159.52,7,3,2024,2024,1
1939,EJM Cowan,2011-2016,7,67,13.4,103.07,7,1,2011,2016,6
1940,AW Gale,2012-2012,6,67,13.4,80.72,7,2,2012,2012,1
1941,AS Karambelkar,2012-2019,19,67,8.37,109.83,7,0,2012,2019,8
1942,R Minz,2024-2024,7,67,16.75,181.08,8,3,2024,2024,1
1943,Nauman Anwar,2016-2024,8,67,8.37,93.05,7,3,2016,2024,9
1944,Nazmul Islam,2012-2025,89,67,7.44,78.82,3,1,2012,2025,14
1945,RR O'Donnell,2018-2018,2,67,67.0,142.55,9,0,2018,2018,1
1946,Pankaj Singh,2007-2021,57,67,5.58,68.36,1,2,2007,2021,15
1947,MR Raut,2021-2022,10,67,8.37,88.15,6,1,2021,2022,2
1948,Samarpit Joshi,2022-2022,4,67,22.33,109.83,4,4,2022,2022,1
1949,WD Sheridan,2011-2013,13,67,13.4,98.52,4,0,2011,2013,3
1950,VS Solanki,2007-2007,2,67,33.5,119.64,9,1,2007,2007,1
1951,JWA Taylor,2011-2011,2,67,67.0,115.51,5,2,2011,2011,1
1952,N Vanua,2021-2024,6,67,11.16,94.36,3,3,2021,2024,4
1953,J Bishop,2019-2023,15,66,33.0,140.42,4,5,2019,2023,5
1954,S Biswal,2007-2011,9,66,11.0,92.95,4,1,2007,2011,5
1955,AR Desai,2024-2024,3,66,22.0,129.41,7,3,2024,2024,1
1956,R Dutta,2007-2011,14,66,6.0,75.86,5,2,2007,2011,5
1957,DS Goswami,2007-2015,17,66,7.33,88.0,7,1,2007,2015,9
1958,D Israni,2009-2011,7,66,9.42,74.15,6,1,2009,2011,3
