,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length
148,DM Bravo,2009-2022,123,2424,29.92,115.37,139,142,2009,2022,14
149,JC Silk,2013-2025,135,2402,31.6,125.56,178,44,2013,2025,13
150,AJ Turner,2013-2025,145,2399,25.25,142.62,160,100,2013,2025,13
151,MM Ali,2013-2025,156,2392,22.14,132.74,176,134,2013,2025,13
152,Mohammad Mithun,2012-2025,132,2390,24.14,116.75,155,97,2012,2025,14
153,GD Phillips,2017-2024,87,2388,32.71,136.61,177,127,2017,2024,8
154,CJ Ferguson,2010-2021,105,2380,28.0,125.06,203,52,2010,2021,12
155,Azam Khan,2019-2024,119,2365,24.13,144.03,201,142,2019,2024,6
156,DP Hughes,2012-2024,106,2365,27.82,121.71,213,55,2012,2024,13
157,Imrul Kayes,2010-2025,117,2364,22.73,117.2,209,99,2010,2025,16
158,AK Markram,2021-2025,99,2346,30.86,129.25,178,79,2021,2025,5
159,P Dogra,2007-2024,105,2324,27.66,115.62,163,94,2007,2024,18
160,Imad Wasim,2016-2024,210,2324,22.78,126.44,201,79,2016,2024,9
161,J Weatherald,2016-2025,98,2324,25.82,130.85,232,92,2016,2025,10
162,Prabhsimran Singh,2019-2024,85,2310,31.64,145.28,229,121,2019,2024,6
163,AC Gilchrist,2007-2013,88,2307,27.79,139.73,264,102,2007,2013,7
164,KH Devdhar,2011-2021,81,2282,30.83,120.8,256,51,2011,2021,11
165,Sabbir Rahman,2012-2025,124,2272,22.27,121.82,177,100,2012,2025,14
166,Umar Akmal,2010-2023,111,2265,27.62,134.66,171,111,2010,2023,14
167,S Badrinath,2007-2017,141,2257,28.56,112.68,212,42,2007,2017,11
168,YBK Jaiswal,2020-2024,81,2255,30.47,146.23,277,89,2020,2024,5
169,V Shankar,2013-2024,142,2252,26.18,128.98,155,90,2013,2024,12
170,NJ Maddinson,2011-2023,124,2207,19.88,121.66,205,90,2011,2023,13
171,AD Mathews,2009-2024,126,2189,28.42,128.01,157,86,2009,2024,16
172,BA King,2017-2025,104,2182,25.37,130.81,217,111,2017,2025,9
173,MK Lomror,2017-2024,107,2137,26.38,129.82,164,91,2017,2024,8
174,SE Rutherford,2018-2025,130,2133,23.18,132.89,134,137,2018,2025,8
175,Najmul Hossain Shanto,2016-2025,103,2116,23.25,111.95,213,49,2016,2025,10
176,Afif Hossain,2016-2025,108,2098,22.55,122.54,188,77,2016,2025,10
177,DP Conway,2021-2025,62,2066,43.95,129.61,214,53,2021,2025,5
178,BKG Mendis,2018-2024,69,2050,32.03,138.23,193,79,2018,2024,7
179,HWR Cartwright,2012-2025,109,2047,28.04,124.06,160,75,2012,2025,14
180,P Chopra,2014-2024,70,2035,33.91,114.58,203,46,2014,2024,11
181,D Ramdin,2007-2021,147,2034,24.21,113.69,150,64,2007,2021,15
182,JM Bairstow,2012-2025,80,2031,31.24,139.2,201,89,2012,2025,14
183,Sachin Baby,2011-2024,102,2026,29.79,131.98,169,64,2011,2024,14
184,HH Gibbs,2007-2013,93,2020,23.76,117.51,219,58,2007,2013,7
185,R Tewatia,2014-2024,154,2008,27.5,143.32,185,86,2014,2024,11
186,WIA Fernando,2019-2024,70,1991,33.18,141.2,175,102,2019,2024,6
187,Gurkeerat Singh,2011-2023,119,1986,25.46,123.66,188,70,2011,2023,13
188,PBB Rajapaksa,2012-2024,100,1980,23.85,139.92,176,97,2012,2024,13
189,TD Agarwal,2015-2024,72,1976,29.49,128.81,209,52,2015,2024,10
190,Iftikhar Ahmed,2016-2025,118,1976,26.0,128.64,141,93,2016,2025,10
191,LJ Evans,2019-2025,80,1970,31.26,140.01,181,80,2019,2025,7
192,CS Delport,2014-2022,97,1959,22.51,132.36,181,91,2014,2022,9
193,JP Inglis,2017-2024,87,1957,28.36,140.89,179,66,2017,2024,8
194,CT Bancroft,2014-2025,83,1952,32.53,122.92,146,48,2014,2025,12
195,D Wiese,2012-2025,160,1928,24.1,144.52,126,108,2012,2025,14
196,L Ronchi,2008-2020,85,1927,26.39,154.53,202,94,2008,2020,13
197,AT Carey,2017-2025,62,1922,33.13,129.68,188,51,2017,2025,9
198,Shahid Afridi,2007-2022,166,1902,16.68,153.14,134,118,2007,2022,16
199,IK Pathan,2007-2020,165,1897,22.85,123.34,145,64,2007,2020,14
200,TLW Cooper,2010-2022,121,1891,21.01,124.81,164,63,2010,2022,13
201,Soumya Sarkar,2012-2025,127,1879,16.62,112.51,186,66,2012,2025,14
202,TL Seifert,2020-2025,84,1843,28.35,124.1,165,71,2020,2025,6
203,HE van der Dussen,2013-2025,61,1813,37.0,131.28,136,74,2013,2025,13
204,SP Jackson,2009-2023,84,1812,27.45,120.07,170,68,2009,2023,15
205,MT Renshaw,2018-2025,80,1800,26.08,132.84,140,55,2018,2025,8
206,JJ Peirson,2014-2024,114,1794,22.14,121.21,154,42,2014,2024,11
207,RK Bhui,2014-2024,71,1789,33.75,143.81,124,107,2014,2024,11
208,Asif Ali,2013-2024,141,1777,19.1,148.2,108,125,2013,2024,12
209,IR Jaggi,2009-2021,68,1750,34.31,121.95,190,38,2009,2021,13
210,UBT Chand,2010-2024,89,1748,21.58,114.39,155,73,2010,2024,15
211,R Dhawan,2007-2024,134,1739,29.98,121.43,159,40,2007,2024,18
212,AS Lamba,2013-2021,60,1730,31.45,109.49,160,53,2013,2021,9
213,Shan Masood,2019-2024,65,1715,28.58,128.08,198,24,2019,2024,6
214,Shadab Khan,2017-2024,148,1709,18.37,135.09,115,87,2017,2024,8
215,GH Vihari,2010-2023,89,1707,21.88,115.72,157,42,2010,2023,14
216,JO Holder,2013-2025,179,1695,16.95,128.5,113,99,2013,2025,13
217,MJ Lumb,2010-2017,71,1684,24.76,131.87,194,52,2010,2017,8
218,Mohammad Naim,2019-2025,71,1683,26.71,118.6,163,65,2019,2025,7
219,SA Asnodkar,2007-2018,72,1658,24.02,124.84,185,42,2007,2018,12
220,OA Shah,2007-2015,80,1654,30.07,119.5,112,62,2007,2015,9
221,WG Jacks,2020-2025,63,1646,28.87,160.58,139,104,2020,2025,6
222,Rashid Khan,2016-2025,311,1642,13.91,147.13,128,103,2016,2025,10
223,CR Brathwaite,2013-2024,168,1640,16.56,143.23,112,107,2013,2024,12
224,Towhid Hridoy,2019-2025,69,1630,28.59,131.77,145,63,2019,2025,7
225,SB Harper,2016-2025,91,1623,19.79,130.25,141,54,2016,2025,10
226,LD Chandimal,2010-2024,65,1620,30.0,131.6,162,55,2010,2024,15
227,Vishnu Vinod,2014-2024,67,1620,31.15,142.23,144,82,2014,2024,11
228,DB Ravi Teja,2007-2021,89,1618,26.09,108.59,152,33,2007,2021,15
229,Rony Talukdar,2015-2025,84,1609,20.36,122.73,178,46,2015,2025,11
230,STR Binny,2009-2021,147,1606,20.07,126.25,116,63,2009,2021,13
231,B Vivek Singh,2014-2024,69,1605,27.67,132.31,158,75,2014,2024,11
232,Mohammad Nawaz (3),2016-2025,135,1594,20.7,124.53,131,70,2016,2025,10
233,ML Hayden,2007-2012,47,1589,37.83,136.86,176,60,2007,2012,6
234,Nasir Hossain,2012-2023,89,1587,25.19,115.58,130,43,2012,2023,12
235,KB Arun Karthik,2009-2024,101,1586,22.65,127.49,138,55,2009,2024,16
236,BJ Webster,2017-2025,83,1577,28.67,120.38,109,48,2017,2025,9
237,KS Bharat,2013-2024,81,1573,23.13,116.77,139,59,2013,2024,12
238,HM Amla,2012-2020,52,1570,33.4,131.05,160,43,2012,2020,9
239,Mehidy Hasan Miraz,2016-2025,112,1566,18.86,123.89,138,64,2016,2025,10
240,PP Chawla,2007-2024,293,1565,14.9,123.52,135,59,2007,2024,18
241,Sarfaraz Ahmed,2016-2024,91,1562,29.47,121.93,138,26,2016,2024,9
242,K Ashwin Hebbar,2015-2024,59,1552,31.04,130.31,163,58,2015,2024,10
243,Nurul Hasan,2013-2025,129,1551,19.14,121.26,130,52,2013,2025,13
244,RN ten Doeschate,2009-2021,87,1547,27.62,136.9,91,70,2009,2021,13
245,TL Suman,2007-2015,75,1546,24.53,125.69,145,65,2007,2015,9
246,CA Pujara,2007-2022,69,1543,29.67,112.38,181,27,2007,2022,16
247,KV Sharma,2007-2024,178,1543,18.15,125.54,112,69,2007,2024,18
248,Misbah-ul-Haq,2007-2019,80,1528,29.38,116.19,100,63,2007,2019,13
249,PK Panchal,2014-2023,59,1522,28.71,128.11,166,37,2014,2023,10
250,M Bryant,2018-2025,71,1517,23.33,139.55,158,59,2018,2025,8
251,AC Voges,2010-2018,80,1513,28.01,119.32,121,20,2010,2018,9
252,B Sai Sudharsan,2021-2024,44,1512,39.78,130.45,140,35,2021,2024,4
253,AN Khare,2017-2024,53,1499,36.56,124.39,137,45,2017,2024,8
254,Sikandar Raza,2014-2024,96,1494,21.04,134.71,110,70,2014,2024,11
255,A Taide,2019-2024,52,1479,30.81,140.85,176,44,2019,2024,6
256,Abdul Samad,2019-2024,90,1478,26.87,146.77,99,90,2019,2024,6
257,N Jagadeesan,2017-2024,66,1475,31.38,125.31,133,51,2017,2024,8
258,PA Reddy,2010-2019,69,1468,24.06,123.15,123,50,2010,2019,10
259,Harbhajan Singh,2007-2021,251,1456,14.85,128.84,137,72,2007,2021,15
260,SK Kamat,2007-2019,58,1438,26.14,110.44,148,46,2007,2019,13
261,AV Wankhade,2011-2024,76,1434,29.87,136.31,82,69,2011,2024,14
262,Yasir Ali,2015-2025,75,1425,24.56,128.84,103,74,2015,2025,11
263,MDKJ Perera,2010-2024,62,1421,24.5,140.55,147,52,2010,2024,15
264,SR Patel,2012-2024,108,1418,22.5,120.16,133,45,2012,2024,13
265,JDS Neesham,2013-2025,107,1417,22.49,134.69,114,62,2013,2025,13
266,Najibullah Zadran,2012-2024,89,1411,21.37,125.64,105,68,2012,2024,13
267,Saim Ayub,2021-2024,52,1406,28.12,140.17,128,75,2021,2024,4
268,BJ Rohrer,2009-2018,86,1402,26.45,131.27,108,41,2009,2018,10
269,VP Solanki,2013-2024,71,1396,31.02,127.95,109,55,2013,2024,12
270,Yashpal Singh,2007-2019,63,1393,26.78,106.74,139,19,2007,2019,13
271,SC Ganguly,2007-2012,62,1392,24.85,106.91,142,43,2007,2012,6
272,JA Morkel,2007-2018,140,1392,21.41,137.68,84,80,2007,2018,12
273,Y Venugopal Rao,2007-2014,83,1390,23.55,121.71,107,50,2007,2014,8
274,RR Hendricks,2021-2025,63,1387,27.19,117.54,133,43,2021,2025,5
275,Mohammad Haris,2022-2025,62,1387,23.11,155.14,139,70,2022,2025,4
276,Anmolpreet Singh,2015-2024,71,1382,26.07,132.62,132,44,2015,2024,10
277,Mominul Haque,2012-2024,85,1380,20.29,106.97,134,28,2012,2024,13
278,JA Burns,2012-2023,71,1372,24.94,118.89,94,51,2012,2023,12
279,Mosaddek Hossain,2015-2025,103,1372,21.77,109.93,114,41,2015,2025,11
280,RRS Cornwall,2013-2025,79,1369,19.84,150.1,117,105,2013,2025,13
281,MD Shanaka,2016-2024,90,1366,22.03,136.87,107,73,2016,2024,9
282,T Stubbs,2022-2025,70,1365,31.74,140.72,84,69,2022,2025,4
283,Usman Khan,2021-2025,40,1348,38.51,153.0,157,49,2021,2025,5
284,GB Poddar,2013-2024,56,1342,27.38,122.33,122,38,2013,2024,12
285,SP Senapati,2017-2024,49,1336,31.8,126.27,97,56,2017,2024,8
286,MS Bisla,2007-2015,65,1324,21.7,110.7,143,35,2007,2015,9
287,JP Faulkner,2011-2022,153,1322,21.67,124.01,73,48,2011,2022,12
288,RL Chase,2018-2024,71,1319,28.67,123.61,103,49,2018,2024,7
289,HJ Rana,2015-2024,59,1312,23.85,119.16,146,31,2015,2024,10
290,AD Nath,2013-2022,86,1310,22.98,115.52,111,34,2013,2022,10
291,AM Hardie,2019-2025,68,1307,27.8,130.7,94,52,2019,2025,7
292,BJ Haddin,2007-2017,66,1300,23.63,127.95,112,53,2007,2017,11
293,P Nissanka,2021-2024,50,1296,25.92,123.19,129,31,2021,2024,4
294,Khushdil Shah,2017-2025,86,1295,30.11,151.46,87,77,2017,2025,9
295,AM Nayar,2007-2017,95,1291,21.51,123.77,107,49,2007,2017,11
296,Shahbaz Ahmed,2019-2024,104,1286,26.24,136.08,73,66,2019,2024,6
297,PSP Handscomb,2012-2025,87,1285,22.94,118.32,102,29,2012,2025,14
298,JM Clarke,2020-2024,51,1282,27.27,134.66,106,54,2020,2024,5
299,PR Prem,2007-2019,57,1275,28.33,113.73,115,25,2007,2019,13
300,CJ Gandhi,2011-2023,73,1266,30.87,125.22,100,39,2011,2023,13
301,KR Patterson,2012-2025,65,1264,21.79,120.38,110,31,2012,2025,14
302,Sharjeel Khan,2016-2023,56,1263,23.83,138.33,122,78,2016,2023,8
303,S Anirudha,2007-2019,71,1257,26.18,124.57,119,47,2007,2019,13
304,J Botha,2009-2021,144,1257,19.95,118.47,104,24,2009,2021,13
305,Anuj Rawat,2019-2024,70,1251,26.06,121.22,107,55,2019,2024,6
306,R Bhatia,2007-2019,146,1251,21.56,115.94,85,43,2007,2019,13
307,Milind Kumar,2010-2024,68,1249,26.57,110.82,115,23,2010,2024,15
308,FY Fazal,2007-2019,65,1246,20.76,105.86,120,17,2007,2019,13
309,Mohammad Shahzad,2010-2022,52,1243,24.86,125.42,136,51,2010,2022,13
310,RD Rickelton,2023-2025,31,1237,44.17,159.81,109,69,2023,2025,3
311,RS Paliwal,2013-2024,66,1231,22.79,118.82,115,11,2013,2024,12
312,BA Stokes,2015-2023,61,1229,25.08,134.02,104,44,2015,2023,9
313,Zakir Hasan,2016-2025,72,1229,21.18,124.14,115,48,2016,2025,10
314,Sohail Tanvir,2007-2022,187,1223,16.75,115.05,86,56,2007,2022,16
315,TD Paine,2010-2022,52,1219,24.87,117.21,125,27,2010,2022,13
316,Pratham Singh,2019-2024,44,1213,29.58,125.69,134,31,2019,2024,6
317,CP Jewell,2018-2025,60,1210,21.6,125.64,130,27,2018,2025,8
318,Bipul Sharma,2007-2021,105,1203,23.58,138.59,81,55,2007,2021,15
319,PN Mankad,2016-2024,55,1192,29.8,143.78,122,43,2016,2024,9
320,M Shahrukh Khan,2014-2024,97,1192,19.22,136.54,80,74,2014,2024,11
321,SN Khan,2014-2023,96,1188,22.41,128.29,116,33,2014,2023,10
322,ST Jayasuriya,2007-2012,56,1187,23.27,134.42,129,55,2007,2012,6
323,PR Stirling,2009-2025,66,1186,19.12,133.7,146,42,2009,2025,17
324,KIC Asalanka,2020-2024,59,1180,23.6,129.1,100,51,2020,2024,5
325,Shashank Singh,2015-2024,74,1180,24.08,143.03,93,55,2015,2024,10
326,JEC Franklin,2009-2017,64,1179,31.02,116.5,73,45,2009,2017,9
327,Azhar Mahmood,2012-2016,57,1175,26.11,130.41,117,42,2012,2016,5
328,JL Denly,2013-2021,53,1170,24.89,112.5,115,35,2013,2021,9
329,M Manhas,2007-2017,91,1170,21.66,104.55,102,21,2007,2017,11
330,SM Katich,2008-2014,66,1168,25.39,123.86,120,26,2008,2014,7
331,Ariful Haque,2012-2025,93,1167,20.47,120.18,76,44,2012,2025,14
332,SS Prabhudessai,2019-2024,53,1167,31.54,137.45,110,41,2019,2024,6
333,UM Patel,2018-2024,47,1162,26.4,170.38,134,54,2018,2024,7
334,CJ Green,2015-2025,194,1158,13.95,128.66,83,33,2015,2025,11
335,A Badoni,2021-2024,71,1157,28.92,134.69,92,44,2021,2024,4
336,M Rawat,2007-2018,62,1153,33.91,122.65,111,25,2007,2018,12
337,BB Samantray,2009-2021,71,1146,20.1,117.05,88,34,2009,2021,13
338,B Aparajith,2013-2023,62,1144,27.9,109.05,80,31,2013,2023,11
339,C Bishnoi,2016-2022,50,1141,27.16,113.64,112,29,2016,2022,7
340,SM Curran,2019-2024,89,1138,22.31,131.25,89,52,2019,2024,6
341,HV Patel,2011-2024,173,1137,15.57,140.89,110,64,2011,2024,14
342,J Fraser-McGurk,2020-2025,60,1135,20.63,146.83,89,68,2020,2025,6
343,Sohaib Maqsood,2014-2023,54,1131,26.3,126.22,99,52,2014,2023,10
344,Haider Ali,2020-2025,70,1129,19.8,137.34,99,58,2020,2025,6
345,DC Thomas,2013-2022,87,1128,18.49,117.5,94,49,2013,2022,10
346,SP Khajuria,2013-2024,47,1124,27.41,122.44,109,43,2013,2024,12
347,M Kaif,2007-2017,69,1121,21.55,102.37,107,25,2007,2017,11
348,UD Yadav,2014-2024,42,1119,37.3,137.3,84,53,2014,2024,11
349,A Symonds,2007-2011,51,1117,31.91,129.13,91,43,2007,2011,5
350,D Brevis,2022-2025,55,1116,25.95,142.71,67,83,2022,2025,4
351,Jahurul Islam,2010-2022,80,1115,19.22,111.16,91,30,2010,2022,13
352,PSK Gupta,2011-2019,37,1111,33.66,121.15,125,26,2011,2019,9
353,AA Waghmode,2011-2019,39,1108,34.62,128.68,118,30,2011,2019,9
354,PM Sahani,2015-2023,53,1106,31.6,123.16,80,42,2015,2023,9
355,Washington Sundar,2017-2024,100,1102,20.4,117.86,88,31,2017,2024,8
356,AC Blizzard,2009-2018,58,1098,23.36,123.64,112,31,2009,2018,10
357,GC Smith,2007-2011,45,1091,25.97,112.01,140,14,2007,2011,5
358,RP Kadam,2019-2024,31,1089,41.88,128.26,121,29,2019,2024,6
359,AL Menaria,2011-2022,72,1085,18.7,115.67,85,43,2011,2022,12
360,Junaid Siddique,2007-2020,48,1080,24.0,130.27,112,39,2007,2020,14
361,NS Naik,2013-2024,66,1077,27.61,128.82,70,50,2013,2024,12
362,Lalit Yadav,2018-2024,82,1077,29.1,135.13,106,37,2018,2024,7
363,NCR Larkin,2016-2023,58,1069,30.54,120.38,107,17,2016,2023,8
364,T Kohler-Cadmore,2018-2024,51,1068,24.27,133.16,90,57,2018,2024,7
365,PW Hasaranga,2017-2024,100,1064,19.0,157.86,117,40,2017,2024,8
366,SA Roy,2012-2024,53,1063,27.25,128.07,117,26,2012,2024,13
367,T Kohli,2008-2022,57,1057,24.58,102.12,101,21,2008,2022,15
368,R Ashwin,2007-2024,282,1047,13.77,118.43,84,35,2007,2024,18
369,G Rahul Singh,2013-2024,52,1046,25.51,137.81,106,34,2013,2024,12
370,MD Gunathilaka,2014-2024,40,1041,28.91,132.61,120,33,2014,2024,11
371,P Bisht,2007-2022,66,1038,21.18,141.8,110,38,2007,2022,16
372,Faheem Ashraf,2018-2025,100,1034,22.47,147.08,84,56,2018,2025,8
373,CJ Anderson,2014-2024,73,1032,20.23,113.9,66,51,2014,2024,11
374,DR Shorey,2013-2023,48,1030,27.83,118.11,87,34,2013,2023,11
375,JL Carter,2013-2021,65,1023,22.23,110.83,74,42,2013,2021,9
376,BRM Taylor,2007-2020,41,1021,29.17,127.3,98,33,2007,2020,14
377,MB Murasingh,2009-2024,73,1019,19.22,136.41,69,53,2009,2024,16
378,R Bishnoi,2007-2021,60,1016,19.92,137.48,70,65,2007,2021,15
379,RS Kunnummal,2019-2024,33,1015,35.0,132.33,118,30,2019,2024,6
380,HM Desai,2019-2024,35,1014,32.7,139.47,129,35,2019,2024,6
381,MS Harris,2014-2025,54,1012,19.46,118.64,107,28,2014,2025,12
382,PP Das,2012-2023,55,1008,20.57,138.46,113,38,2012,2023,12
383,Hussain Talat,2017-2025,64,1007,22.88,122.5,85,28,2017,2025,9
384,R Shepherd,2018-2024,102,1002,21.31,152.74,67,72,2018,2024,7
385,JG Bista,2015-2023,34,1001,33.36,135.82,114,33,2015,2023,9
386,Sohail Akhtar,2018-2022,47,1001,27.8,124.81,97,40,2018,2022,5
387,RJ Quiney,2009-2018,57,995,19.9,122.83,94,39,2009,2018,10
388,LR Shukla,2007-2015,81,994,20.7,120.63,72,40,2007,2015,9
389,TR Birt,2011-2015,47,989,24.12,137.93,83,46,2011,2015,5
390,Swapnil Singh,2007-2024,89,988,22.45,128.81,64,48,2007,2024,18
391,SSJ Brooks,2016-2024,50,984,24.0,127.29,71,42,2016,2024,9
392,FA Allen,2017-2024,99,978,17.15,142.56,68,60,2017,2024,8
393,AR Easwaran,2017-2023,34,976,37.53,128.59,84,25,2017,2023,7
394,Shahriar Nafees,2012-2019,45,976,25.68,105.97,106,18,2012,2019,8
395,Mahedi Hasan,2016-2025,98,973,18.35,124.1,85,50,2016,2025,10
396,Shamsur Rahman,2012-2024,51,970,24.25,117.29,80,32,2012,2024,13
397,AK Bains,2013-2024,62,969,19.38,112.54,112,22,2013,2024,12
398,WU Tharanga,2007-2021,40,968,26.88,119.5,112,21,2007,2021,15
399,S Bhambri,2019-2024,33,964,33.24,136.73,94,41,2019,2024,6
400,RA Reifer,2013-2024,83,958,19.95,110.24,66,39,2013,2024,12
401,NK Patel,2007-2013,37,957,34.17,119.02,105,16,2007,2013,7
402,Abishek Porel,2022-2024,37,956,31.86,152.71,102,37,2022,2024,3
403,Tanzid Hasan,2022-2025,33,956,29.87,133.14,67,58,2022,2025,4
404,Ziaur Rahman,2012-2025,84,953,19.85,126.22,67,63,2012,2025,14
405,MC Juneja,2011-2021,44,952,28.84,126.59,93,17,2011,2021,11
406,JN Mohammed,2011-2021,60,952,25.05,101.92,60,35,2011,2021,11
407,K Deobrat,2013-2023,73,951,18.28,115.97,84,40,2013,2023,11
408,KMA Paul,2017-2024,110,951,16.68,129.21,52,62,2017,2024,8
409,NH Verma,2013-2023,50,947,20.14,102.6,100,9,2013,2023,11
410,NS Shaikh,2017-2022,45,942,28.54,123.78,82,21,2017,2022,6
411,TP Ludeman,2011-2018,55,941,26.13,121.73,89,29,2011,2018,8
412,J Brown,2022-2025,38,940,24.73,149.2,80,65,2022,2025,4
413,SD Lad,2013-2022,60,939,22.9,118.86,81,33,2013,2022,10
414,DR Sams,2017-2025,110,934,12.97,138.57,57,56,2017,2025,9
415,N Dickwella,2020-2024,51,928,19.74,144.54,122,24,2020,2024,5
416,ER Dwivedi,2010-2018,47,923,34.18,124.22,95,27,2010,2018,9
417,Himmat Singh,2018-2024,55,917,28.65,132.51,76,40,2018,2024,7
418,SS Mundhe,2007-2022,51,914,26.11,122.68,84,26,2007,2022,16
419,Shamim Hossain,2021-2025,53,910,23.33,137.25,76,43,2021,2025,5
420,C Hemraj,2018-2023,46,900,20.45,117.8,84,43,2018,2023,6
421,M Gilkes,2019-2025,54,899,19.54,117.36,91,22,2019,2025,7
422,MD Mishra,2007-2015,48,899,20.43,133.18,115,26,2007,2015,9
423,BP Sandeep,2013-2021,47,892,25.48,123.71,59,30,2013,2021,9
424,AC Agar,2013-2025,107,882,16.03,114.99,54,36,2013,2025,13
425,K Lewis,2014-2024,48,880,19.13,126.61,65,61,2014,2024,11
426,ID Singh,2007-2021,48,876,19.9,97.87,92,15,2007,2021,15
427,AR Bawne,2011-2024,42,875,35.0,131.57,83,31,2011,2024,14
428,RK Das,2013-2023,43,873,22.97,115.62,114,10,2013,2023,11
429,Shuvagata Hom,2012-2024,96,865,14.91,124.1,78,31,2012,2024,13
430,Shivam Chauhan,2017-2022,33,864,29.79,122.2,92,15,2017,2022,6
431,Ganesh Satish,2010-2023,58,861,18.31,98.06,73,11,2010,2023,14
432,N Saini,2009-2019,57,858,18.65,101.77,81,7,2009,2019,11
433,R Vinay Kumar,2007-2019,170,858,15.32,126.17,58,37,2007,2019,13
434,CH Morris,2012-2021,109,856,22.52,155.07,63,43,2012,2021,10
435,Mohammad Ashraful,2007-2019,41,855,23.75,119.41,86,22,2007,2019,13
436,MH Devdhar,2016-2021,37,852,23.66,121.19,95,21,2016,2021,6
437,S Gani,2021-2024,31,852,34.08,127.73,74,35,2021,2024,4
438,EMDY Munaweera,2012-2023,48,851,17.72,113.46,108,25,2012,2023,12
439,LA Pomersbach,2008-2014,35,849,30.32,130.01,91,28,2008,2014,7
440,DW Misal,2013-2024,73,847,18.02,116.02,65,34,2013,2024,12
441,R Jonathan,2009-2024,47,844,20.58,98.36,75,19,2009,2024,16
442,SD Heazlett,2015-2023,50,840,17.87,123.89,68,33,2015,2023,9
443,JJS Sangha,2018-2025,34,836,32.15,121.15,65,21,2018,2025,8
444,Parvez Rasool,2011-2022,70,835,19.88,105.83,68,22,2011,2022,12
445,O Davies,2020-2025,48,834,20.34,130.1,53,38,2020,2025,6
446,S Chaudhary,2017-2024,34,829,25.9,119.97,84,24,2017,2024,8
447,Mohammed Azharuddeen,2016-2024,48,829,20.21,132.0,68,37,2016,2024,9
448,YV Dhull,2022-2024,28,826,41.3,124.21,86,26,2022,2024,3
449,N Gangta,2013-2023,49,826,26.64,139.05,84,26,2013,2023,11
450,PK Garg,2019-2024,51,821,20.02,120.55,67,27,2019,2024,6
451,DJ Harris,2010-2014,41,818,24.78,113.92,81,22,2010,2014,5
452,C Green,2019-2024,43,816,32.64,145.71,69,32,2019,2024,6
453,Ravi Chauhan,2017-2022,30,815,30.18,114.78,91,12,2017,2022,6
454,PHKD Mendis,2020-2024,42,814,23.94,120.41,75,23,2020,2024,5
455,SB Vyas,2015-2024,39,814,25.43,140.1,70,45,2015,2024,10
456,PJ Cummins,2011-2024,116,803,18.67,137.97,48,50,2011,2024,14
457,H Davids,2009-2018,34,803,29.74,123.34,73,30,2009,2018,10
458,A Mishra,2007-2024,253,803,13.84,96.51,77,7,2007,2024,18
459,P Negi,2011-2021,118,803,15.74,122.22,56,33,2011,2021,11
460,Jaker Ali,2019-2025,62,802,25.06,127.3,44,46,2019,2025,7
461,C Hari Nishaanth,2019-2023,35,798,26.6,124.29,75,32,2019,2023,5
462,JD Ryder,2009-2017,40,797,20.43,125.9,88,25,2009,2017,9
463,C de Grandhomme,2012-2023,55,794,20.35,138.56,59,40,2012,2023,12
464,DM de Silva,2020-2024,47,794,22.05,126.03,71,23,2020,2024,5
465,JT Smuts,2011-2025,33,791,26.36,127.78,83,29,2011,2025,15
466,Naeem Islam,2009-2025,52,790,23.23,110.02,66,25,2009,2025,17
467,LA Dawson,2012-2025,80,789,17.53,115.85,51,32,2012,2025,14
468,Samarth Singh,2014-2019,33,789,25.45,111.44,75,24,2014,2019,6
469,VA Jagadeesh,2007-2016,40,788,25.41,105.63,63,7,2007,2016,10
470,SM Whiteman,2013-2024,55,785,16.7,118.4,75,21,2013,2024,12
471,BK Saurabh,2021-2024,23,784,37.33,137.54,64,46,2021,2024,4
472,JL du Plooy,2023-2025,30,779,37.09,141.63,75,28,2023,2025,3
473,HC Brook,2018-2024,44,778,26.82,138.18,80,19,2018,2024,7
474,SK Patel,2013-2021,33,778,28.81,109.42,78,17,2013,2021,9
475,PC Valthaty,2009-2013,34,778,23.57,126.5,106,24,2009,2013,5
476,RV Gomez,2007-2019,62,774,21.5,128.78,63,32,2007,2019,13
477,FH Allen,2018-2025,34,772,22.7,165.31,75,45,2018,2025,8
478,AR Sharma,2018-2024,31,772,33.56,182.5,60,56,2018,2024,7
479,Mashrafe Mortaza,2007-2024,134,768,13.24,127.15,53,47,2007,2024,18
480,MV Boucher,2007-2011,60,764,25.46,117.53,62,21,2007,2011,5
481,JR Hopes,2008-2016,56,764,20.1,121.07,87,12,2008,2016,9
482,S Chandrakar,2018-2024,37,763,21.8,130.87,74,31,2018,2024,7
483,NJ Reardon,2011-2018,44,762,24.58,124.91,48,34,2011,2018,8
484,VS Hathwala,2015-2024,43,760,23.75,113.09,57,27,2015,2024,10
485,DB Prasanth,2013-2021,48,760,19.48,110.94,69,30,2013,2021,9
486,AP Devcich,2014-2019,39,751,22.08,125.79,79,22,2014,2019,6
487,Amit Verma,2007-2021,52,747,21.97,115.81,49,35,2007,2021,15
488,DJ Mitchell,2014-2024,37,747,27.66,127.47,56,22,2014,2024,11
489,CD Bist,2018-2024,38,746,29.84,116.19,56,25,2018,2024,7
490,MH Wessels,2013-2019,37,746,22.6,110.68,76,14,2013,2019,7
491,KJ O'Brien,2009-2021,47,745,20.69,122.93,52,37,2009,2021,13
